experiment,group_type,range_m,n_samples,mean_dice,mean_volume_ratio,mean_mass_ratio,mean_absolute_top_depth_error_m,mean_absolute_bottom_depth_error_m,mean_absolute_thickness_error_m
E05,top_depth,20-40,43,0.17903222951099185,13.3458075517286,13.32061188249311,15.116279069767442,152.5581395348837,167.67441860465115
E05,top_depth,50-60,25,0.15187359496114136,17.61972980189123,12.048671217985468,39.6,132.8,172.4
E05,top_depth,70-80,32,0.14118018155144058,17.884831977556114,11.74017092893348,57.1875,113.125,170.3125
E05,thickness,20-30,37,0.09421190788344024,25.078317605912307,17.333532562224143,32.7027027027027,161.0810810810811,193.78378378378378
E05,thickness,40-50,26,0.16112188626993026,12.256697690263794,10.883148171387209,36.53846153846154,135.3846153846154,171.92307692307693
E05,thickness,60-80,37,0.22535086264707582,9.192045991561953,8.79421632065813,35.4054054054054,108.64864864864865,144.05405405405406
E06,top_depth,20-40,43,0.29823193549736116,7.49620511374809,6.27245533244613,23.25581395348837,35.81395348837209,59.06976744186046
E06,top_depth,50-60,25,0.273681828729621,9.135948252554325,5.8283818294203344,28.0,44.8,72.8
E06,top_depth,70-80,32,0.2631514527902863,9.037118852339228,5.977601683449039,29.0625,38.4375,67.5
E06,thickness,20-30,37,0.1694615202076294,13.244015343011554,7.92299658433353,27.83783783783784,54.054054054054056,81.89189189189189
E06,thickness,40-50,26,0.2849231448138833,6.6649043874128004,5.646278123973564,29.615384615384617,41.53846153846154,71.15384615384616
E06,thickness,60-80,37,0.3894266870560259,4.773168857181644,4.506872271821834,22.43243243243243,21.89189189189189,44.32432432432432
E07,top_depth,20-40,43,0.363001318972059,5.351205365986147,4.678202304755965,10.465116279069768,49.06976744186046,59.53488372093023
E07,top_depth,50-60,25,0.3012112675488968,7.5294328771449015,4.864351828724381,29.6,54.4,84.0
E07,top_depth,70-80,32,0.2614995672992212,8.479523232822935,5.816800987817929,39.0625,39.0625,78.125
E07,thickness,20-30,37,0.20771651132494348,10.252136185821252,6.48519916614458,23.513513513513512,64.32432432432432,87.83783783783784
E07,thickness,40-50,26,0.3208269229739422,5.639319512218551,4.604403880326541,26.53846153846154,50.38461538461539,76.92307692307692
E07,thickness,60-80,37,0.4183868551824494,4.425163511440329,4.033574497214872,23.783783783783782,27.83783783783784,51.62162162162162
