split,body_size_group,density_group,count
train,small,low,1112
train,small,medium,1111
train,small,high,1111
train,medium,low,1111
train,medium,medium,1111
train,medium,high,1111
train,large,low,1111
train,large,medium,1111
train,large,high,1111
validation,small,low,112
validation,small,medium,111
validation,small,high,111
validation,medium,low,111
validation,medium,medium,111
validation,medium,high,111
validation,large,low,111
validation,large,medium,111
validation,large,high,111
