experiment,body_size_group,sample_count,mean_mse,mean_iou,mean_dice,mean_absolute_top_depth_error_m,mean_absolute_bottom_depth_error_m,mean_absolute_z_center_error_m,mean_absolute_thickness_error_m,mean_gravity_rmse,mean_gravity_relative_l2,mean_gravity_correlation,mean_absolute_density_error,mean_relative_density_error,true_mean_body_density,predicted_mean_body_density,density_bias,bias_direction
E09B,small,25,0.0005582024186151102,0.20839041113103815,0.3362964752424824,19.6,31.6,3.4518750109885206,51.2,0.02086174530884412,1.8435595133003468,0.9777613075993753,0.20133370667489336,0.2706778145111386,0.667720023393631,0.47568521523682306,-0.19203480815680787,underprediction
E09B,medium,50,0.0008767779642948881,0.3734017863107462,0.5303992885439994,19.0,28.8,2.550719982885462,47.8,0.029283429992503072,1.330945337635673,0.9946344815206223,0.09515142879230903,0.20244669046689062,0.531481784582138,0.5343938555963174,0.0029120710141792732,overprediction
E09B,large,25,0.0014585487742442638,0.5018285827621252,0.6617072575362696,22.0,36.0,2.7195165908161254,58.0,0.04753524229441406,0.8764986052886284,0.9983035514614567,0.09473013446390531,0.20441354633108919,0.5619036638736725,0.6341079189013676,0.07220425502769516,overprediction
E09B-2,small,25,0.0006528660596814007,0.1654431101593804,0.28108037169921557,12.8,21.6,1.3987493622728766,34.4,0.024932457844143406,2.2105128906431624,0.9555076613666484,0.1490508216113043,0.2223854348994063,0.667720023393631,0.575112103663078,-0.09260791973055295,underprediction
E09B-2,medium,50,0.0006735312176169828,0.3808003081538378,0.5413225438875027,13.6,19.6,1.937210163253527,33.2,0.024587110616185463,1.1697608433087843,0.9864107893943368,0.07593575043303251,0.16077043193094206,0.531481784582138,0.545336337635944,0.013854553053805972,overprediction
E09B-2,large,25,0.0010201550472993405,0.5380970129616572,0.6933605099188958,16.8,23.6,1.9376438118674948,40.4,0.03375846129174268,0.625164144437442,0.9951290920727471,0.07637277489853814,0.15592806465714545,0.5619036638736725,0.6049841243684988,0.043080460494826375,overprediction
E09B-3,small,25,0.0007869461824884639,0.1707365654905672,0.28836185998428626,11.6,25.6,2.183562082461821,37.2,0.026543508058341953,2.3675187625197633,0.9320650900622224,0.14218113469759952,0.1877438721601445,0.667720023393631,0.548647160606579,-0.1190728627870519,underprediction
E09B-3,medium,50,0.0007790988316992298,0.3425484038487558,0.5047532352608901,11.4,20.4,1.6029073623100518,31.8,0.027832189747615386,1.3582692708268962,0.9753129005484641,0.08137639860297857,0.16950808244853757,0.531481784582138,0.5582221308808109,0.02674034629867272,overprediction
E09B-3,large,25,0.0009000677929725498,0.5622883874945865,0.7155812181474368,14.8,24.0,2.022941872232665,38.8,0.030225924474195108,0.6048345978499019,0.9949058508016039,0.061774990799360927,0.1235856126995491,0.5619036638736725,0.6078535527224619,0.04594988884878935,overprediction
E09B-5,small,25,0.000760453028487973,0.1376882909421853,0.23877155018164145,12.4,28.0,2.4870544339235146,40.4,0.027968879867141774,2.5635548406098136,0.877670501833325,0.17434086065112872,0.24568032176593735,0.667720023393631,0.505080729750239,-0.16263929364339197,underprediction
E09B-5,medium,50,0.0007559544339892455,0.34631089745043686,0.50306731384314,12.0,23.2,2.240516164456562,35.2,0.02761310569077505,1.3187503044516546,0.9639047832695465,0.0740135409135256,0.15506977338145286,0.531481784582138,0.5496784899061633,0.018196705324025182,overprediction
E09B-5,large,25,0.0011642949853558093,0.5306291083177408,0.6837442498896895,16.4,28.4,2.4636236998374197,44.8,0.03805096441377276,0.724117639921188,0.9883116716287849,0.07841501511242548,0.16573352590074378,0.5619036638736725,0.635646485160853,0.07374282128718057,overprediction
E09B-6,small,25,0.0004870941160334041,0.25045106977209275,0.392120832794823,10.8,22.0,2.5593634652901223,32.8,0.01728253940169182,1.4037844608545784,0.9608088737518727,0.13559736626454152,0.18203029125199477,0.667720023393631,0.5430583443011314,-0.12466167909249956,underprediction
E09B-6,medium,50,0.0007396457383583765,0.40974404966672073,0.5736635979547586,10.0,23.6,3.270864150289325,32.8,0.02371120443670763,1.030999626622819,0.9825483418159187,0.0694137892882773,0.1402810810652064,0.531481784582138,0.5367165696390443,0.005234785056906258,overprediction
E09B-6,large,25,0.0013135516142938285,0.545093027706248,0.7009492066385499,12.8,25.2,3.47670914915279,38.0,0.0344265036215232,0.6214716625935944,0.9936812045378034,0.05792075073274983,0.11695878463402395,0.5619036638736725,0.6017150559318215,0.03981139205814903,overprediction
E09B-7,small,25,0.0007821495761163533,0.16499756640158605,0.277257516567932,12.8,24.0,2.1276184567891123,36.8,0.02656473691813811,2.5087391949229674,0.8758479684083994,0.15210077289567936,0.20174304846731858,0.667720023393631,0.5494590449468802,-0.11826097844675063,underprediction
E09B-7,medium,50,0.0007850778292049653,0.3659955973975279,0.5290265039989791,14.4,21.6,1.990579553004576,36.0,0.02542729221644628,1.2026517788863647,0.9694047853867006,0.09017659540977493,0.19966024181283093,0.531481784582138,0.5565242332166632,0.025042448634525098,overprediction
E09B-7,large,25,0.0012186325481161476,0.5290625262546992,0.6857281649040448,18.0,25.6,2.113874853572669,43.6,0.03714853256804501,0.7128252145325016,0.992412901831849,0.0875796674383298,0.18510726649292458,0.5619036638736725,0.6293260985630081,0.06742243468933568,overprediction
E09B-8,small,25,0.0005488889146363363,0.22610937580027804,0.36058448782173774,14.0,27.6,3.314567260290634,41.6,0.020577726683032753,1.871394964590139,0.9552026352288554,0.13140696671521773,0.16742032414756214,0.667720023393631,0.5477606562237868,-0.11995936716984426,underprediction
E09B-8,medium,50,0.0008972806905512698,0.39736396589325634,0.5532147476725634,16.4,28.2,2.570971177658314,43.8,0.028150051354904594,1.3150547416255238,0.9814783762846736,0.07568939097698393,0.15244831729861835,0.531481784582138,0.5395200959937241,0.008038311411585947,overprediction
