comparison,metric,mean_paired_change,median_paired_change
E09B-2 -> E09B-5,mse,0.00010414333490189166,7.669513433938846e-05
E09B-2 -> E09B-5,iou,-0.02605038631697834,-0.02630992547637899
E09B-2 -> E09B-5,dice,-0.03210888540887646,-0.03695717797284073
E09B-2 -> E09B-5,absolute_top_depth_error_m,-1.0,0.0
E09B-2 -> E09B-5,absolute_bottom_depth_error_m,4.6,0.0
E09B-2 -> E09B-5,absolute_z_center_error_m,0.5552242405066581,0.5788100309189161
E09B-2 -> E09B-5,absolute_thickness_error_m,3.6,0.0
E09B-2 -> E09B-5,gravity_rmse,0.003345228823551905,0.0037805244250655196
E09B-2 -> E09B-5,gravity_relative_l2,0.18749359193403464,0.14316016762839268
E09B-2 -> E09B-5,gravity_correlation,-0.032416648056716506,-0.012550424627399859
E09B-2 -> E09B-5,absolute_density_error,0.00587196505367448,-0.0005384206337233355
E09B-2 -> E09B-5,relative_density_error,0.005424757752787728,-0.0016839933169996227
E09B-2 -> E09B-6,mse,6.496341620731982e-05,-4.6363973524421453e-05
E09B-2 -> E09B-6,iou,0.03747286434576724,0.026421866162157942
E09B-2 -> E09B-6,dice,0.04582781648744333,0.03396418807224541
E09B-2 -> E09B-6,absolute_top_depth_error_m,-3.3,0.0
E09B-2 -> E09B-6,absolute_bottom_depth_error_m,2.5,0.0
E09B-2 -> E09B-6,absolute_z_center_error_m,1.3417468535935342,1.4765715920821947
E09B-2 -> E09B-6,absolute_thickness_error_m,-1.2,0.0
E09B-2 -> E09B-6,gravity_rmse,-0.002183422117906682,-0.0019814778170163814
E09B-2 -> E09B-6,gravity_relative_l2,-0.2719858362510906,-0.13995876964657017
E09B-2 -> E09B-6,gravity_correlation,-0.0009678925766388979,-0.002441496653272479
E09B-2 -> E09B-6,absolute_density_error,-0.011237350450515384,-0.008428008167477186
E09B-2 -> E09B-6,relative_density_error,-0.030075781350501093,-0.020299363933477102
E09B-2 -> E09B-7,mse,0.00013771356010693124,0.00011241872562095523
E09B-2 -> E09B-7,iou,-0.009772362994343038,-0.021219437688418386
E09B-2 -> E09B-7,dice,-0.009011819980795503,-0.02415130316703462
E09B-2 -> E09B-7,absolute_top_depth_error_m,0.7,0.0
E09B-2 -> E09B-7,absolute_bottom_depth_error_m,2.1,0.0
E09B-2 -> E09B-7,absolute_z_center_error_m,0.2529597289308768,0.5083585179938552
E09B-2 -> E09B-7,absolute_thickness_error_m,2.8,0.0
E09B-2 -> E09B-7,gravity_rmse,0.0016756783877046662,0.002760241020508829
E09B-2 -> E09B-7,gravity_relative_l2,0.11291731138250634,0.08281419610227275
E09B-2 -> E09B-7,gravity_correlation,-0.029096972803604803,-0.00441115468481007
E09B-2 -> E09B-7,absolute_density_error,0.010684633444412894,0.013281825432368388
E09B-2 -> E09B-7,relative_density_error,0.021579108791867294,0.025949222524509416
E09B-6 -> E09B-8,mse,0.00026145827972868575,0.00010168132030230481
E09B-6 -> E09B-8,iou,-0.038459584954540785,-0.03488167872751552
E09B-6 -> E09B-8,dice,-0.042619275321040886,-0.04424164966310315
E09B-6 -> E09B-8,absolute_top_depth_error_m,8.2,0.0
E09B-6 -> E09B-8,absolute_bottom_depth_error_m,10.0,0.0
E09B-6 -> E09B-8,absolute_z_center_error_m,-0.38431297359448974,-0.3698816771514615
E09B-6 -> E09B-8,absolute_thickness_error_m,18.2,10.0
E09B-6 -> E09B-8,gravity_rmse,0.0070596234744919415,0.00526398945237198
E09B-6 -> E09B-8,gravity_relative_l2,0.33590235830518833,0.2835439747435089
E09B-6 -> E09B-8,gravity_correlation,-0.0030133848146374643,0.00043445846444872815
E09B-6 -> E09B-8,absolute_density_error,0.004987158178176836,0.005750556463602341
E09B-6 -> E09B-8,relative_density_error,0.008312060326133894,0.01077623076966199
E09B-7 -> E09B-8,mse,0.0001887081358290743,4.3416010157670826e-05
E09B-7 -> E09B-8,iou,0.008785642385569503,0.006097376734067891
E09B-7 -> E09B-8,dice,0.012220361147197947,0.007766641925389534
E09B-7 -> E09B-8,absolute_top_depth_error_m,4.2,0.0
E09B-7 -> E09B-8,absolute_bottom_depth_error_m,10.4,0.0
E09B-7 -> E09B-8,absolute_z_center_error_m,0.7044741510681676,0.5658040533464685
E09B-7 -> E09B-8,absolute_thickness_error_m,14.2,0.0
E09B-7 -> E09B-8,gravity_rmse,0.003200522968880594,0.0023568371237663
E09B-7 -> E09B-8,gravity_relative_l2,-0.04900078932840851,0.08647391033550644
E09B-7 -> E09B-8,gravity_correlation,0.02511569541232844,0.0033604840171152506
E09B-7 -> E09B-8,absolute_density_error,-0.01693482571675144,-0.019090284855355244
E09B-7 -> E09B-8,relative_density_error,-0.04334282981623449,-0.0347123043679617
