experiment,baseline,metric,mean_paired_difference,median_paired_difference,samples_improved,samples_worsened,percent_improved
E09B-1,E09B,iou,-0.03461011607446704,-0.0054245890939695895,47,53,47.0
E09B-1,E09B,dice,-0.041734117598352855,-0.005555305488329221,47,53,47.0
E09B-1,E09B,mse,8.924092253437265e-06,8.327486284542829e-06,48,52,48.0
E09B-1,E09B,absolute_top_depth_error_m,-3.7,0.0,48,52,48.0
E09B-1,E09B,absolute_bottom_depth_error_m,-8.0,0.0,45,55,45.0
E09B-1,E09B,absolute_z_center_error_m,-0.4976847183300007,-0.41009913683471666,58,42,57.99999999999999
E09B-1,E09B,absolute_thickness_error_m,-11.7,-10.0,64,36,64.0
E09B-1,E09B,gravity_rmse,0.0015256470807887956,0.0004153634670958084,49,51,49.0
E09B-1,E09B,gravity_correlation,-0.031098204106836513,-0.005523142092858813,17,83,17.0
E09B-2,E09B,iou,0.0020295432285143793,0.02227486742968783,63,37,63.0
E09B-2,E09B,dice,-0.0004290851184085176,0.025351400998818885,63,37,63.0
E09B-2,E09B,mse,-0.0001875558948086109,-4.621766856871545e-05,54,46,54.0
E09B-2,E09B,absolute_top_depth_error_m,-5.7,-10.0,56,44,56.00000000000001
E09B-2,E09B,absolute_bottom_depth_error_m,-10.2,-10.0,56,44,56.00000000000001
E09B-2,E09B,absolute_z_center_error_m,-1.015504516732036,-0.630697408822158,64,36,64.0
E09B-2,E09B,absolute_thickness_error_m,-15.9,-10.0,70,30,70.0
E09B-2,E09B,gravity_rmse,-0.004774676805001829,-0.002702699316523371,60,40,60.0
E09B-2,E09B,gravity_correlation,-0.010468872468501873,-0.002435001377087631,21,79,21.0
E09B-3,E09B,iou,-0.009725201457997639,0.007700811463505403,53,47,53.0
E09B-3,E09B,dice,-0.011338190303311927,0.008681661391903461,53,47,53.0
E09B-3,E09B,mse,-0.00013127387064741923,-6.44876854494214e-05,54,46,54.0
E09B-3,E09B,absolute_top_depth_error_m,-7.6,-10.0,57,43,56.99999999999999
E09B-3,E09B,absolute_bottom_depth_error_m,-8.7,-10.0,51,49,51.0
E09B-3,E09B,absolute_z_center_error_m,-0.9651282220652451,-0.5016640856898924,61,39,61.0
E09B-3,E09B,absolute_thickness_error_m,-16.3,-10.0,69,31,69.0
E09B-3,E09B,gravity_rmse,-0.003632508890124122,-0.0033230209762963314,60,40,60.0
E09B-3,E09B,gravity_correlation,-0.02193427003533044,-0.00697011575360762,10,90,10.0
E09B-4,E09B,iou,-0.05982187108453298,-0.03699953223491553,9,91,9.0
E09B-4,E09B,dice,-0.06501581933191117,-0.03881297561648736,9,91,9.0
E09B-4,E09B,mse,0.00020582224722602406,0.00015663488738937303,16,84,16.0
E09B-4,E09B,absolute_top_depth_error_m,-2.2,0.0,39,61,39.0
E09B-4,E09B,absolute_bottom_depth_error_m,-2.8,0.0,24,76,24.0
E09B-4,E09B,absolute_z_center_error_m,-0.20769768691867432,0.09853191575157894,48,52,48.0
E09B-4,E09B,absolute_thickness_error_m,-5.0,0.0,48,52,48.0
E09B-4,E09B,gravity_rmse,0.008262145383112445,0.007212209035490873,13,87,13.0
E09B-4,E09B,gravity_correlation,-0.02197692958422366,-0.005632026241146726,10,90,10.0
