sample_index,relative_path,body_name,x_start,x_end,y_start,y_end,z_start,z_end,width_x,width_y,thickness_z,top_depth_index,bottom_depth_index,center_x_index,center_y_index,center_z_index,top_depth_m,bottom_depth_m,center_depth_m,width_x_m,width_y_m,thickness_z_m,center_x_m,center_y_m,density_contrast,nonzero_density_cells,gravity_minimum_mgal,gravity_maximum_mgal,gravity_mean_mgal,gravity_std_mgal
0,samples/sample_000000.npz,rectangular_body_000000,20,36,49,54,8,11,16,5,3,8,10,27.5,51.0,9.0,80.0,110.0,95.0,160.0,50.0,30.0,275.0,510.0,0.5823011515635614,240,0.00039326385653592826,0.0663578915679256,0.007884822772647647,0.009657177460443138
1,samples/sample_000001.npz,rectangular_body_000001,46,53,36,45,4,9,7,9,5,4,8,49.0,40.0,6.0,40.0,90.0,65.0,70.0,90.0,50.0,490.0,400.0,0.5125959519207172,315,0.0003135352786561176,0.16005785630280814,0.010536036163020575,0.016621674705066706
2,samples/sample_000002.npz,rectangular_body_000002,50,58,24,40,7,14,8,16,7,7,13,53.5,31.5,10.0,70.0,140.0,105.0,80.0,160.0,70.0,535.0,315.0,0.5030300855112483,896,0.0013771994278267518,0.18665912094601728,0.023299048400067808,0.028330572488194625
3,samples/sample_000003.npz,rectangular_body_000003,25,32,2,14,6,11,7,12,5,6,10,28.0,7.5,8.0,60.0,110.0,85.0,70.0,120.0,50.0,280.0,75.0,0.5888399509141371,420,0.0005424773098624567,0.1518687211260495,0.013045921274451554,0.019302188598143782
4,samples/sample_000004.npz,rectangular_body_000004,49,59,18,30,7,9,10,12,2,7,8,53.5,23.5,7.5,70.0,90.0,80.0,100.0,120.0,20.0,535.0,235.0,0.3684879516949954,240,0.0001772014707626515,0.053713126871778066,0.004963370534573178,0.007204591239872394
5,samples/sample_000005.npz,rectangular_body_000005,51,59,45,52,8,12,8,7,4,8,11,54.5,48.0,9.5,80.0,120.0,100.0,80.0,70.0,40.0,545.0,480.0,0.6378219029684873,224,0.0002652621859718684,0.07234143503464951,0.006752384510293542,0.009926471896030324
6,samples/sample_000006.npz,rectangular_body_000006,24,34,23,36,5,10,10,13,5,5,9,28.5,29.0,7.0,50.0,100.0,75.0,100.0,130.0,50.0,285.0,290.0,0.657265292946634,650,0.002069821712774185,0.28462593925245755,0.029592311304164468,0.03565121195176111
7,samples/sample_000007.npz,rectangular_body_000007,45,59,37,51,8,13,14,14,5,8,12,51.5,43.5,10.0,80.0,130.0,105.0,140.0,140.0,50.0,515.0,435.0,0.9073043414323758,980,0.002160919302713663,0.3383946814220805,0.04544667452309081,0.05499813001542941
8,samples/sample_000008.npz,rectangular_body_000008,13,26,45,58,7,10,13,13,3,7,9,19.0,51.0,8.0,70.0,100.0,85.0,130.0,130.0,30.0,190.0,510.0,0.9925207538285843,507,0.00102596393230471,0.26067320882783873,0.028197100989794544,0.03823718685799701
9,samples/sample_000009.npz,rectangular_body_000009,42,53,33,37,7,10,11,4,3,7,9,47.0,34.5,8.0,70.0,100.0,85.0,110.0,40.0,30.0,470.0,345.0,0.5473759913336271,132,0.0002240822528781507,0.04593846030113888,0.004503886963146202,0.005725421675185544
