sample_index,sample_id,relative_path,x_start,x_end,y_start,y_end,z_start,z_end,width_x,width_y,thickness_z,top_depth_m,bottom_depth_m,width_x_m,width_y_m,thickness_z_m,center_x_m,center_y_m,center_depth_m,density_contrast,body_volume_cells,body_size_group,density_group,gravity_minimum_mgal,gravity_maximum_mgal,gravity_mean_mgal,gravity_std_mgal
0,prime_000000,samples/prime_000000.npz,47,52,21,36,7,15,5,15,8,70.0,150.0,50.0,150.0,80.0,490.0,280.0,110.0,0.37059655487679904,600,large,low,0.0004208974714856595,0.10751817375421524,0.010396991856396198,0.017295463010668755
1,prime_000001,samples/prime_000001.npz,31,40,41,46,6,10,9,5,4,60.0,100.0,90.0,50.0,40.0,350.0,430.0,80.0,0.7902001000999189,180,small,high,0.00024315938935615122,0.12804800271987915,0.0074032507836818695,0.016103608533740044
2,prime_000002,samples/prime_000002.npz,40,46,42,50,3,6,6,8,3,30.0,60.0,60.0,80.0,30.0,425.0,455.0,45.0,0.6620264552152697,144,small,medium,6.96426723152399e-05,0.2084721326828003,0.00540125323459506,0.018918238580226898
3,prime_000003,samples/prime_000003.npz,18,32,15,25,7,9,14,10,2,70.0,90.0,140.0,100.0,20.0,245.0,195.0,80.0,0.5680825797908343,280,small,medium,0.0002441876567900181,0.10873881727457047,0.008230715990066528,0.016344835981726646
4,prime_000004,samples/prime_000004.npz,45,51,20,33,4,8,6,13,4,40.0,80.0,60.0,130.0,40.0,475.0,260.0,60.0,0.8396077741479111,312,medium,high,0.00027745033730752766,0.31255099177360535,0.014235228300094604,0.03753088787198067
5,prime_000005,samples/prime_000005.npz,38,54,15,19,6,13,16,4,7,60.0,130.0,160.0,40.0,70.0,455.0,165.0,95.0,0.9809148698268118,448,medium,high,0.000597456528339535,0.26402556896209717,0.021278023719787598,0.039938006550073624
6,prime_000006,samples/prime_000006.npz,27,40,8,24,7,15,13,16,8,70.0,150.0,130.0,160.0,80.0,330.0,155.0,110.0,0.829020083091641,1664,large,high,0.0029165097512304783,0.5708221793174744,0.06478951871395111,0.10123208165168762
7,prime_000007,samples/prime_000007.npz,25,36,46,50,2,5,11,4,3,20.0,50.0,110.0,40.0,30.0,300.0,475.0,35.0,0.5385059899895044,132,small,medium,4.8946894821710885e-05,0.19561803340911865,0.00414580712094903,0.016877004876732826
8,prime_000008,samples/prime_000008.npz,39,55,13,20,4,6,16,7,2,40.0,60.0,160.0,70.0,20.0,465.0,160.0,50.0,0.6110292241333819,224,small,medium,9.595497976988554e-05,0.16616813838481903,0.00756533769890666,0.02127080038189888
9,prime_000009,samples/prime_000009.npz,28,43,24,36,6,10,15,12,4,60.0,100.0,150.0,120.0,40.0,350.0,295.0,80.0,0.6986885609404423,720,large,medium,0.0012032466474920511,0.32134324312210083,0.026417747139930725,0.05042906105518341
10,prime_000010,samples/prime_000010.npz,11,24,43,47,5,12,13,4,7,50.0,120.0,130.0,40.0,70.0,170.0,445.0,85.0,0.5410038977157241,364,medium,medium,0.00025015624123625457,0.15627172589302063,0.009885899722576141,0.020861791446805
11,prime_000011,samples/prime_000011.npz,30,41,17,32,6,10,11,15,4,60.0,100.0,110.0,150.0,40.0,350.0,240.0,80.0,0.6317626190925123,660,large,medium,0.0008256175206042826,0.2730909287929535,0.02180436998605728,0.04226138815283775
12,prime_000012,samples/prime_000012.npz,38,42,38,54,8,16,4,16,8,80.0,160.0,40.0,160.0,80.0,395.0,455.0,120.0,0.7997374731025787,512,medium,high,0.000839504471514374,0.1681872457265854,0.0187422763556242,0.028448952361941338
13,prime_000013,samples/prime_000013.npz,15,22,25,38,3,7,7,13,4,30.0,70.0,70.0,130.0,40.0,180.0,310.0,50.0,0.5156465520437395,364,medium,medium,0.0002065899025183171,0.2689008116722107,0.010554554872214794,0.031118733808398247
14,prime_000014,samples/prime_000014.npz,36,49,14,25,4,11,13,11,7,40.0,110.0,130.0,110.0,70.0,420.0,190.0,75.0,0.6736796282612698,1001,large,medium,0.0008646291098557413,0.5378320813179016,0.03520110622048378,0.076683908700943
15,prime_000015,samples/prime_000015.npz,8,21,33,48,7,10,13,15,3,70.0,100.0,130.0,150.0,30.0,140.0,400.0,85.0,0.8592575345980069,585,large,high,0.0006646267138421535,0.2864685654640198,0.025090865790843964,0.047254398465156555
16,prime_000016,samples/prime_000016.npz,33,49,40,55,6,9,16,15,3,60.0,90.0,160.0,150.0,30.0,405.0,470.0,75.0,0.2448430805947325,720,large,low,0.0002173421235056594,0.10702670365571976,0.009122731164097786,0.01794183999300003
17,prime_000017,samples/prime_000017.npz,47,51,11,15,3,8,4,4,5,30.0,80.0,40.0,40.0,50.0,485.0,125.0,55.0,0.5708392971580701,80,small,medium,3.0125393095659092e-05,0.10510285198688507,0.0024599849712103605,0.00835544615983963
18,prime_000018,samples/prime_000018.npz,10,16,14,25,3,9,6,11,6,30.0,90.0,60.0,110.0,60.0,125.0,190.0,60.0,0.26670612107044334,396,medium,low,8.524012810084969e-05,0.14577233791351318,0.005646174773573875,0.016032351180911064
19,prime_000019,samples/prime_000019.npz,41,52,37,51,5,12,11,14,7,50.0,120.0,110.0,140.0,70.0,460.0,435.0,85.0,0.5566216988099848,1078,large,medium,0.0007863094215281308,0.39147379994392395,0.030155092477798462,0.059679366648197174
20,prime_000020,samples/prime_000020.npz,17,26,27,42,6,12,9,15,6,60.0,120.0,90.0,150.0,60.0,210.0,340.0,90.0,0.9630759373851749,810,large,high,0.001596770714968443,0.4692257046699524,0.039561182260513306,0.07256954908370972
21,prime_000021,samples/prime_000021.npz,18,27,8,13,8,10,9,5,2,80.0,100.0,90.0,50.0,20.0,220.0,100.0,90.0,0.591241514908778,90,small,medium,6.381967978086323e-05,0.037934426218271255,0.002562736626714468,0.005276820622384548
22,prime_000022,samples/prime_000022.npz,10,16,27,43,5,11,6,16,6,50.0,110.0,60.0,160.0,60.0,125.0,345.0,80.0,0.8371787242670707,576,large,high,0.0006518521113321185,0.35894495248794556,0.02447778545320034,0.05148066580295563
23,prime_000023,samples/prime_000023.npz,20,29,46,50,6,12,9,4,6,60.0,120.0,90.0,40.0,60.0,240.0,475.0,90.0,0.41529141847566653,216,small,low,0.00013301688886713237,0.07010505348443985,0.004466156009584665,0.009133391082286835
