sample_index,sample_id,relative_path,x_start,x_end,y_start,y_end,z_start,z_end,width_x,width_y,thickness_z,top_depth_m,bottom_depth_m,width_x_m,width_y_m,thickness_z_m,center_x_m,center_y_m,center_depth_m,density_contrast,gravity_minimum_mgal,gravity_maximum_mgal,gravity_mean_mgal,gravity_std_mgal
0,sample_000000,samples/sample_000000.npz,21,37,45,50,8,11,16,5,3,80.0,110.0,160.0,50.0,30.0,285.0,470.0,95.0,0.5823011515635614,0.0002504959120415151,0.0775640606880188,0.006884544622153044,0.012253970839083195
1,sample_000001,samples/sample_000001.npz,42,49,34,43,4,9,7,9,5,40.0,90.0,70.0,90.0,50.0,450.0,380.0,65.0,0.5125959519207172,0.00019461796910036355,0.19944466650485992,0.008701467886567116,0.022626616060733795
2,sample_000002,samples/sample_000002.npz,45,53,24,40,7,14,8,16,7,70.0,140.0,80.0,160.0,70.0,485.0,315.0,105.0,0.5030300855112483,0.0009074941044673324,0.2171403467655182,0.021442636847496033,0.03580484166741371
3,sample_000003,samples/sample_000003.npz,26,33,8,20,6,11,7,12,5,60.0,110.0,70.0,120.0,50.0,290.0,135.0,85.0,0.5888399509141371,0.00037186589906923473,0.18181265890598297,0.012413053773343563,0.02547895535826683
4,sample_000004,samples/sample_000004.npz,44,54,20,32,7,9,10,12,2,70.0,90.0,100.0,120.0,20.0,485.0,255.0,80.0,0.3684879516949954,0.00011886026913998649,0.06407105177640915,0.004513144493103027,0.009303226135671139
5,sample_000005,samples/sample_000005.npz,46,54,42,49,8,12,8,7,4,80.0,120.0,80.0,70.0,40.0,495.0,450.0,100.0,0.6378219029684873,0.00018984402413479984,0.0860166847705841,0.006739589851349592,0.012640558183193207
6,sample_000006,samples/sample_000006.npz,25,35,24,37,5,10,10,13,5,50.0,100.0,100.0,130.0,50.0,295.0,300.0,75.0,0.657265292946634,0.0010251702042296529,0.3393673300743103,0.022763224318623543,0.04792112112045288
7,sample_000007,samples/sample_000007.npz,40,54,34,48,8,13,14,14,5,80.0,130.0,140.0,140.0,50.0,465.0,405.0,105.0,0.9073043414323758,0.001528947614133358,0.38849031925201416,0.042208150029182434,0.06798525154590607
8,sample_000008,samples/sample_000008.npz,16,29,40,53,7,10,13,13,3,70.0,100.0,130.0,130.0,30.0,220.0,460.0,85.0,0.9925207538285843,0.000708435254637152,0.30260464549064636,0.025384731590747833,0.048169318586587906
9,sample_000009,samples/sample_000009.npz,39,50,32,36,7,10,11,4,3,70.0,100.0,110.0,40.0,30.0,440.0,335.0,85.0,0.5473759913336271,0.0001324499025940895,0.05564504861831665,0.003700348548591137,0.007508568000048399
10,sample_000010,samples/sample_000010.npz,16,32,37,53,5,12,16,16,7,50.0,120.0,160.0,160.0,70.0,235.0,445.0,85.0,0.7524312741276036,0.0020780088379979134,0.71918785572052,0.06842699646949768,0.1241547167301178
11,sample_000011,samples/sample_000011.npz,50,55,13,25,4,12,5,12,8,40.0,120.0,50.0,120.0,80.0,520.0,185.0,80.0,0.8188030068467509,0.00039729499258100986,0.36302483081817627,0.019572248682379723,0.04556519538164139
12,sample_000012,samples/sample_000012.npz,16,31,23,32,5,11,15,9,6,50.0,110.0,150.0,90.0,60.0,230.0,270.0,80.0,0.8109834552387294,0.0012152647832408547,0.4673852026462555,0.0343012697994709,0.06892715394496918
13,sample_000013,samples/sample_000013.npz,8,19,43,53,3,10,11,10,7,30.0,100.0,110.0,100.0,70.0,130.0,475.0,65.0,0.7933045807495349,0.0004955983022227883,0.6609764695167542,0.03192697837948799,0.08308525383472443
14,sample_000014,samples/sample_000014.npz,23,28,10,19,8,13,5,9,5,80.0,130.0,50.0,90.0,50.0,250.0,140.0,105.0,0.20754495623670338,7.868149259593338e-05,0.026306351646780968,0.002208447316661477,0.003921746741980314
15,sample_000015,samples/sample_000015.npz,21,34,24,32,7,10,13,8,3,70.0,100.0,130.0,80.0,30.0,270.0,275.0,85.0,0.6645448098260138,0.00047133516636677086,0.14106634259223938,0.010737570933997631,0.020604906603693962
16,sample_000016,samples/sample_000016.npz,19,35,21,36,3,9,16,15,6,30.0,90.0,160.0,150.0,60.0,265.0,280.0,60.0,0.9019100585343176,0.002132441382855177,1.0076147317886353,0.07169325649738312,0.16090071201324463
17,sample_000017,samples/sample_000017.npz,45,52,18,28,4,11,7,10,7,40.0,110.0,70.0,100.0,70.0,480.0,225.0,75.0,0.455060168177182,0.0002630185626912862,0.22601784765720367,0.011555436998605728,0.027414189651608467
18,sample_000018,samples/sample_000018.npz,34,45,17,28,7,11,11,11,4,70.0,110.0,110.0,110.0,40.0,390.0,220.0,90.0,0.7556496255102603,0.0006681477534584701,0.22660768032073975,0.018500447273254395,0.034307949244976044
19,sample_000019,samples/sample_000019.npz,26,37,36,42,6,14,11,6,8,60.0,140.0,110.0,60.0,80.0,310.0,385.0,100.0,0.26977642699442983,0.00038293845136649907,0.08934824168682098,0.007089873775839806,0.012688162736594677
20,sample_000020,samples/sample_000020.npz,25,38,21,29,4,9,13,8,5,40.0,90.0,130.0,80.0,50.0,310.0,245.0,65.0,0.527739747723183,0.0004937695921398699,0.2813532054424286,0.014962141402065754,0.036049745976924896
21,sample_000021,samples/sample_000021.npz,30,36,11,21,2,7,6,10,5,20.0,70.0,60.0,100.0,50.0,325.0,155.0,45.0,0.39044082342939723,0.00010497693438082933,0.24379059672355652,0.006647004280239344,0.023144874721765518
22,sample_000022,samples/sample_000022.npz,22,31,40,56,4,12,9,16,8,40.0,120.0,90.0,160.0,80.0,260.0,475.0,80.0,0.4605694393624532,0.0007469336269423366,0.3816881775856018,0.02717491053044796,0.05646428465843201
23,sample_000023,samples/sample_000023.npz,28,42,29,34,3,11,14,5,8,30.0,110.0,140.0,50.0,80.0,345.0,310.0,70.0,0.225758546632446,0.0002820245863404125,0.13453370332717896,0.006826428230851889,0.016369862481951714
24,sample_000024,samples/sample_000024.npz,28,39,13,18,8,10,11,5,2,80.0,100.0,110.0,50.0,20.0,330.0,150.0,90.0,0.9409740811696254,0.0001765594643075019,0.07044381648302078,0.005161119159311056,0.010044917464256287
25,sample_000025,samples/sample_000025.npz,20,31,17,26,3,7,11,9,4,30.0,70.0,110.0,90.0,40.0,250.0,210.0,50.0,0.33140491519502346,0.0001350975362583995,0.1890653818845749,0.007395285181701183,0.02183510549366474
26,sample_000026,samples/sample_000026.npz,38,51,33,41,4,6,13,8,2,40.0,60.0,130.0,80.0,20.0,440.0,365.0,50.0,0.4725149145015195,9.933827823260799e-05,0.13159169256687164,0.005525615531951189,0.015797564759850502
27,sample_000027,samples/sample_000027.npz,19,35,11,27,8,10,16,16,2,80.0,100.0,160.0,160.0,20.0,265.0,185.0,90.0,0.7789084607655188,0.0007081360090523958,0.19070497155189514,0.020001757889986038,0.03385680168867111
28,sample_000028,samples/sample_000028.npz,24,37,41,49,5,13,13,8,8,50.0,130.0,130.0,80.0,80.0,300.0,445.0,90.0,0.37916968038695953,0.0006060661398805678,0.21575239300727844,0.01592537760734558,0.03086014837026596
29,sample_000029,samples/sample_000029.npz,26,33,21,30,3,6,7,9,3,30.0,60.0,70.0,90.0,30.0,290.0,250.0,45.0,0.8378726965056633,0.00018971352255903184,0.3079783022403717,0.009085971862077713,0.030367545783519745
30,sample_000030,samples/sample_000030.npz,45,51,24,39,8,15,6,15,7,80.0,150.0,60.0,150.0,70.0,475.0,310.0,115.0,0.32340379562796207,0.00045546379988081753,0.08865233510732651,0.009463057853281498,0.0148067157715559
31,sample_000031,samples/sample_000031.npz,12,21,32,39,4,6,9,7,2,40.0,60.0,90.0,70.0,20.0,160.0,350.0,50.0,0.2199793810711709,2.629693699418567e-05,0.04637809470295906,0.0015520346350967884,0.004818938672542572
32,sample_000032,samples/sample_000032.npz,35,46,18,34,5,10,11,16,5,50.0,100.0,110.0,160.0,50.0,400.0,255.0,75.0,0.8991662605211204,0.0013175326166674495,0.5518571734428406,0.04180332273244858,0.08484755456447601
33,sample_000033,samples/sample_000033.npz,29,38,24,34,3,8,9,10,5,30.0,80.0,90.0,100.0,50.0,330.0,285.0,55.0,0.6624796009659032,0.0005094661028124392,0.4129982590675354,0.01671278290450573,0.04700622335076332
34,sample_000034,samples/sample_000034.npz,28,36,18,32,5,13,8,14,8,50.0,130.0,80.0,140.0,80.0,315.0,245.0,90.0,0.4793614613190729,0.0010709849884733558,0.2854642868041992,0.021936213597655296,0.041467729955911636
35,sample_000035,samples/sample_000035.npz,35,50,42,55,4,8,15,13,4,40.0,80.0,150.0,130.0,40.0,420.0,480.0,60.0,0.7844032018316711,0.0005638320581056178,0.5199990272521973,0.03297004848718643,0.07813763618469238
36,sample_000036,samples/sample_000036.npz,38,54,36,47,6,11,16,11,5,60.0,110.0,160.0,110.0,50.0,455.0,410.0,85.0,0.3513652492027719,0.00044226570753380656,0.18412475287914276,0.015616945922374725,0.029550600796937943
37,sample_000037,samples/sample_000037.npz,30,38,25,33,8,11,8,8,3,80.0,110.0,80.0,80.0,30.0,335.0,285.0,95.0,0.7490368234415601,0.0004065495159011334,0.09221988171339035,0.007274566683918238,0.013182466849684715
38,sample_000038,samples/sample_000038.npz,23,35,25,35,5,7,12,10,2,50.0,70.0,120.0,100.0,20.0,285.0,295.0,60.0,0.6932820169050666,0.0003057856811210513,0.17517828941345215,0.009206175804138184,0.02271617390215397
39,sample_000039,samples/sample_000039.npz,36,40,26,34,4,8,4,8,4,40.0,80.0,40.0,80.0,40.0,375.0,295.0,60.0,0.6625174941681033,0.00013875594595447183,0.13352450728416443,0.004689081106334925,0.013225612230598927
40,sample_000040,samples/sample_000040.npz,29,40,30,46,5,8,11,16,3,50.0,80.0,110.0,160.0,30.0,340.0,375.0,65.0,0.6522510296859483,0.0006088422378525138,0.2768651247024536,0.018765151500701904,0.04130212217569351
41,sample_000041,samples/sample_000041.npz,24,39,23,27,2,7,15,4,5,20.0,70.0,150.0,40.0,50.0,310.0,245.0,45.0,0.20777721073326233,7.824067142792046e-05,0.1090286374092102,0.003575469134375453,0.01150782871991396
42,sample_000042,samples/sample_000042.npz,24,30,37,46,2,7,6,9,5,20.0,70.0,60.0,90.0,50.0,265.0,410.0,45.0,0.3092615172089288,8.340544445673004e-05,0.18382975459098816,0.004777435213327408,0.016815682873129845
43,sample_000043,samples/sample_000043.npz,29,36,27,42,3,6,7,15,3,30.0,60.0,70.0,150.0,30.0,320.0,340.0,45.0,0.9297482914906869,0.0004369426751509309,0.418952614068985,0.01682567037642002,0.0503733791410923
44,sample_000044,samples/sample_000044.npz,24,31,19,33,7,14,7,14,7,70.0,140.0,70.0,140.0,70.0,270.0,255.0,105.0,0.8129409408729518,0.0014410336734727025,0.28588467836380005,0.02733580954372883,0.044992946088314056
45,sample_000045,samples/sample_000045.npz,32,38,14,23,3,10,6,9,7,30.0,100.0,60.0,90.0,70.0,345.0,180.0,65.0,0.585696214499613,0.0002932729839812964,0.30761438608169556,0.011958864517509937,0.03237229585647583
46,sample_000046,samples/sample_000046.npz,25,41,42,56,4,6,16,14,2,40.0,60.0,160.0,140.0,20.0,325.0,485.0,50.0,0.5160173040865819,0.0002245403011329472,0.21055971086025238,0.012879413552582264,0.03231678903102875
47,sample_000047,samples/sample_000047.npz,13,18,47,56,3,5,5,9,2,30.0,50.0,50.0,90.0,20.0,150.0,510.0,40.0,0.8157948341691554,3.5435263271210715e-05,0.1781754344701767,0.004144212231040001,0.015895027667284012
48,sample_000048,samples/sample_000048.npz,35,47,17,21,5,8,12,4,3,50.0,80.0,120.0,40.0,30.0,405.0,185.0,65.0,0.33976363172654256,5.5971737310756e-05,0.05611920729279518,0.0026316128205507994,0.006635699421167374
49,sample_000049,samples/sample_000049.npz,16,30,21,26,2,7,14,5,5,20.0,70.0,140.0,50.0,50.0,225.0,230.0,45.0,0.7705323508373183,0.00024709824356250465,0.4685242176055908,0.015397194772958755,0.050063349306583405
50,sample_000050,samples/sample_000050.npz,27,43,28,38,3,11,16,10,8,30.0,110.0,160.0,100.0,80.0,345.0,325.0,70.0,0.34452026054367046,0.0009735554340295494,0.3658110499382019,0.023792309686541557,0.05259916931390762
51,sample_000051,samples/sample_000051.npz,20,25,38,51,2,8,5,13,6,20.0,80.0,50.0,130.0,60.0,220.0,440.0,50.0,0.9579506174671706,0.00033086593612097204,0.6226570010185242,0.0209495946764946,0.0657922700047493
52,sample_000052,samples/sample_000052.npz,14,20,18,30,7,9,6,12,2,70.0,90.0,60.0,120.0,20.0,165.0,235.0,80.0,0.8023777904824065,0.00015645765233784914,0.09166626632213593,0.005930584389716387,0.012523068115115166
53,sample_000053,samples/sample_000053.npz,40,45,22,34,6,10,5,12,4,60.0,100.0,50.0,120.0,40.0,420.0,275.0,80.0,0.734401532534041,0.00030776296625845134,0.1455484926700592,0.009185442700982094,0.019371885806322098
54,sample_000054,samples/sample_000054.npz,14,23,10,23,8,11,9,13,3,80.0,110.0,90.0,130.0,30.0,180.0,160.0,95.0,0.589703997106479,0.0002819417277351022,0.11626449227333069,0.010007387958467007,0.018336862325668335
55,sample_000055,samples/sample_000055.npz,23,31,34,39,4,9,8,5,5,40.0,90.0,80.0,50.0,50.0,265.0,360.0,65.0,0.47082622661936213,0.00015883029846008867,0.12938985228538513,0.005139509681612253,0.013587003573775291
