sample_index,relative_path,body_name,x_start,x_end,y_start,y_end,z_start,z_end,width_x,width_y,thickness_z,top_depth_index,bottom_depth_index,center_x_index,center_y_index,center_z_index,top_depth_m,bottom_depth_m,center_depth_m,width_x_m,width_y_m,thickness_z_m,center_x_m,center_y_m,density_contrast,nonzero_density_cells,gravity_minimum_mgal,gravity_maximum_mgal,gravity_mean_mgal,gravity_std_mgal
0,samples/sample_000000.npz,rectangular_body_000000,20,36,49,54,16,19,16,5,3,16,18,27.5,51.0,17.0,160.0,190.0,175.0,160.0,50.0,30.0,275.0,510.0,0.5823011515635614,240,0.0006356701605933149,0.024898510915076173,0.005772701066005025,0.004689714468269792
1,samples/sample_000001.npz,rectangular_body_000001,46,53,36,45,7,12,7,9,5,7,11,49.0,40.0,9.0,70.0,120.0,95.0,70.0,90.0,50.0,490.0,400.0,0.5125959519207172,315,0.00043028064490243376,0.0890937046566733,0.009303194734685051,0.01173766056766307
2,samples/sample_000002.npz,rectangular_body_000002,50,58,24,40,13,20,8,16,7,13,19,53.5,31.5,16.0,130.0,200.0,165.0,80.0,160.0,70.0,535.0,315.0,0.5030300855112483,896,0.0019646721029022264,0.08972307078315878,0.018483251537052763,0.01648332425005586
3,samples/sample_000003.npz,rectangular_body_000003,25,32,2,14,10,15,7,12,5,10,14,28.0,7.5,12.0,100.0,150.0,125.0,70.0,120.0,50.0,280.0,75.0,0.5888399509141371,420,0.0007469770522709372,0.08222364760669323,0.011140799182641846,0.012854060270882445
4,samples/sample_000004.npz,rectangular_body_000004,49,59,18,30,14,16,10,12,2,14,15,53.5,23.5,14.5,140.0,160.0,150.0,100.0,120.0,20.0,535.0,235.0,0.3684879516949954,240,0.000297252025548483,0.02064613663666052,0.0037434637167788024,0.003688830900460806
5,samples/sample_000005.npz,rectangular_body_000005,51,59,45,52,16,20,8,7,4,16,19,54.5,48.0,17.5,160.0,200.0,180.0,80.0,70.0,40.0,545.0,480.0,0.6378219029684873,224,0.000429089609758201,0.025645463938892797,0.0049075340261025314,0.004859095946794309
6,samples/sample_000006.npz,rectangular_body_000006,24,34,23,36,8,13,10,13,5,8,12,28.5,29.0,10.0,80.0,130.0,105.0,100.0,130.0,50.0,285.0,290.0,0.657265292946634,650,0.002696409249992681,0.17790636993450815,0.026579401379658293,0.025479061251724874
7,samples/sample_000007.npz,rectangular_body_000007,45,59,37,51,15,20,14,14,5,15,19,51.5,43.5,17.0,150.0,200.0,175.0,140.0,140.0,50.0,515.0,435.0,0.9073043414323758,980,0.00324968134818425,0.15380539479519378,0.03453557709782322,0.030122151320429495
8,samples/sample_000008.npz,rectangular_body_000008,13,26,45,58,13,16,13,13,3,13,15,19.0,51.0,14.0,130.0,160.0,145.0,130.0,130.0,30.0,190.0,510.0,0.9925207538285843,507,0.0015940224359793872,0.12004068123873815,0.022027052885170484,0.021891145885008078
9,samples/sample_000009.npz,rectangular_body_000009,42,53,33,37,14,17,11,4,3,14,16,47.0,34.5,15.0,140.0,170.0,155.0,110.0,40.0,30.0,470.0,345.0,0.5473759913336271,132,0.0003602358551662131,0.016774496872837937,0.003440471454801847,0.0028731111553060252
10,samples/sample_000010.npz,rectangular_body_000010,13,29,42,58,10,17,16,16,7,10,16,20.5,49.5,13.0,100.0,170.0,135.0,160.0,160.0,70.0,205.0,495.0,0.7524312741276036,1792,0.004440035053971933,0.34133007415082156,0.06359713850825517,0.062274017541699284
11,samples/sample_000011.npz,rectangular_body_000011,55,60,9,21,7,15,5,12,8,7,14,57.0,14.5,10.5,70.0,150.0,110.0,50.0,120.0,80.0,570.0,145.0,0.8188030068467509,480,0.0007225540904016834,0.17359239127592355,0.016480581299675938,0.024392140341712793
12,samples/sample_000012.npz,rectangular_body_000012,14,29,21,30,10,16,15,9,6,10,15,21.0,25.0,12.5,100.0,160.0,130.0,150.0,90.0,60.0,210.0,250.0,0.8109834552387294,810,0.003128840900589764,0.19430039117130632,0.03564918180557667,0.03139285079720913
13,samples/sample_000013.npz,rectangular_body_000013,2,13,48,58,5,12,11,10,7,5,11,7.0,52.5,8.0,50.0,120.0,85.0,110.0,100.0,70.0,70.0,525.0,0.7933045807495349,770,0.0008397009859409831,0.3758435395175507,0.02742956343334498,0.048276237369322614
