sample_index,relative_path,body_name,x_start,x_end,y_start,y_end,z_start,z_end,width_x,width_y,thickness_z,top_depth_index,bottom_depth_index,center_x_index,center_y_index,center_z_index,top_depth_m,bottom_depth_m,center_depth_m,width_x_m,width_y_m,thickness_z_m,center_x_m,center_y_m,density_contrast,nonzero_density_cells,gravity_minimum_mgal,gravity_maximum_mgal,gravity_mean_mgal,gravity_std_mgal
355,samples/sample_000355.npz,rectangular_body_000355,19,32,28,42,3,5,13,14,2,3,4,25.0,34.5,3.5,30.0,50.0,40.0,130.0,140.0,20.0,250.0,345.0,0.591368352740427,364,0.0005368142865876515,0.22197055877912997,0.016699502303881092,0.026359903075306664
928,samples/sample_000928.npz,rectangular_body_000928,27,32,50,62,6,12,5,12,6,6,11,29.0,55.5,8.5,60.0,120.0,90.0,50.0,120.0,60.0,290.0,555.0,0.4935792532811751,360,0.00041831498068802507,0.10495419547263124,0.009211727734414399,0.013311881302020222
198,samples/sample_000198.npz,rectangular_body_000198,26,37,34,49,5,9,11,15,4,5,8,31.0,41.0,6.5,50.0,90.0,70.0,110.0,150.0,40.0,310.0,410.0,0.9723033483190442,660,0.002406110132285845,0.42204861746725286,0.04429267380014418,0.05539406906541288
258,samples/sample_000258.npz,rectangular_body_000258,30,42,32,46,14,19,12,14,5,14,18,35.5,38.5,16.0,140.0,190.0,165.0,120.0,140.0,50.0,355.0,385.0,0.7515436513309226,840,0.004445579763535048,0.12269268964643018,0.030972072620950607,0.0211001778590312
815,samples/sample_000815.npz,rectangular_body_000815,7,17,37,52,6,13,10,15,7,6,12,11.5,44.0,9.0,60.0,130.0,95.0,100.0,150.0,70.0,115.0,440.0,0.6973370841455098,1050,0.00160418101291407,0.3478888407528748,0.03921111921028679,0.051615546517277365
594,samples/sample_000594.npz,rectangular_body_000594,10,21,37,41,16,24,11,4,8,16,23,15.0,38.5,19.5,160.0,240.0,200.0,110.0,40.0,80.0,150.0,385.0,0.5715414040098381,352,0.0010271374807810751,0.030286320783214672,0.007924200801630775,0.0057046416846453715
98,samples/sample_000098.npz,rectangular_body_000098,13,27,32,42,13,20,14,10,7,13,19,19.5,36.5,16.0,130.0,200.0,165.0,140.0,100.0,70.0,195.0,365.0,0.5784619057172555,980,0.0031869622580570243,0.11370563178846263,0.02682965416908517,0.01998985679545948
194,samples/sample_000194.npz,rectangular_body_000194,36,49,43,50,7,15,13,7,8,7,14,42.0,46.0,10.5,70.0,150.0,110.0,130.0,70.0,80.0,420.0,460.0,0.8483121437621688,728,0.0019424395586505674,0.2620132332365458,0.034377678208225834,0.038172415223071264
552,samples/sample_000552.npz,rectangular_body_000552,9,17,28,35,11,17,8,7,6,11,16,12.5,31.0,13.5,110.0,170.0,140.0,80.0,70.0,60.0,125.0,310.0,0.7725030168486076,336,0.0011115150115847692,0.07493322128362549,0.012480596057284726,0.01214631799113853
193,samples/sample_000193.npz,rectangular_body_000193,7,17,34,38,15,22,10,4,7,15,21,11.5,35.5,18.0,150.0,220.0,185.0,100.0,40.0,70.0,115.0,355.0,0.8488172315489486,280,0.00110196882727118,0.041320481643354244,0.009438707207674302,0.007628068766673698
86,samples/sample_000086.npz,rectangular_body_000086,44,48,5,12,7,14,4,7,7,7,13,45.5,8.0,10.0,70.0,140.0,105.0,40.0,70.0,70.0,455.0,80.0,0.9456680134255657,196,0.00037587029738452384,0.09555529723171244,0.008756736224761554,0.01254654383720345
986,samples/sample_000986.npz,rectangular_body_000986,49,54,46,57,12,15,5,11,3,12,14,51.0,51.0,13.0,120.0,150.0,135.0,50.0,110.0,30.0,510.0,510.0,0.40078226366392244,165,0.00016129448718850815,0.019515383618420964,0.0027656613154468804,0.0032928538187525494
696,samples/sample_000696.npz,rectangular_body_000696,47,52,49,60,11,17,5,11,6,11,16,49.0,54.0,13.5,110.0,170.0,140.0,50.0,110.0,60.0,490.0,540.0,0.537379033513,330,0.0004312587520538465,0.05040227469216363,0.007069976197369052,0.008448678286882916
772,samples/sample_000772.npz,rectangular_body_000772,32,44,18,29,5,7,12,11,2,5,6,37.5,23.0,5.5,50.0,70.0,60.0,120.0,110.0,20.0,375.0,230.0,0.2464567914489879,264,0.00018268662607264427,0.054662510888235885,0.00465177960719071,0.006480462836879133
