sample_index,relative_path,body_name,x_start,x_end,y_start,y_end,z_start,z_end,width_x,width_y,thickness_z,top_depth_index,bottom_depth_index,center_x_index,center_y_index,center_z_index,density_contrast,nonzero_density_cells,gravity_minimum_mgal,gravity_maximum_mgal,gravity_mean_mgal,gravity_std_mgal
0,samples/sample_000000.npz,rectangular_body_000000,20,36,49,54,16,19,16,5,3,16,19,28.0,51.5,17.5,0.5823011515635614,240,0.0006225860272885569,0.026178743121173437,0.005880692781439846,0.004884077116407134
1,samples/sample_000001.npz,rectangular_body_000001,46,53,36,45,7,12,7,9,5,7,12,49.5,40.5,9.5,0.5125959519207172,315,0.00041133712850369814,0.097303289016235,0.009496103833327328,0.012389803586336403
2,samples/sample_000002.npz,rectangular_body_000002,50,58,24,40,13,20,8,16,7,13,20,54.0,32.0,16.5,0.5030300855112483,896,0.0019205585087821227,0.09459087341692256,0.018827544152126847,0.017182183641096645
3,samples/sample_000003.npz,rectangular_body_000003,25,32,2,14,10,15,7,12,5,10,15,28.5,8.0,12.5,0.5888399509141371,420,0.0007225531360446721,0.08803670696857352,0.011354845237843324,0.013474753700111988
4,samples/sample_000004.npz,rectangular_body_000004,49,59,18,30,14,16,10,12,2,14,16,54.0,24.0,15.0,0.3684879516949954,240,0.0002894449689121977,0.02185327239094136,0.0038151276648861073,0.003849935194810626
5,samples/sample_000005.npz,rectangular_body_000005,51,59,45,52,16,20,8,7,4,16,20,55.0,48.5,18.0,0.6378219029684873,224,0.00041990127865462886,0.0270079304358051,0.004997422399365452,0.005055336732010479
6,samples/sample_000006.npz,rectangular_body_000006,24,34,23,36,8,13,10,13,5,8,13,29.0,29.5,10.5,0.657265292946634,650,0.0025973354226160004,0.19134725918165812,0.02706291508143018,0.02687840694546308
7,samples/sample_000007.npz,rectangular_body_000007,45,59,37,51,15,20,14,14,5,15,20,52.0,44.0,17.5,0.9073043414323758,980,0.0031800386975589217,0.16145126929399473,0.03518171255162198,0.0313356668199988
8,samples/sample_000008.npz,rectangular_body_000008,13,26,45,58,13,16,13,13,3,13,16,19.5,51.5,14.5,0.9925207538285843,507,0.001550178620067987,0.12698447004551933,0.02246262386956641,0.02284452218880922
9,samples/sample_000009.npz,rectangular_body_000009,42,53,33,37,14,17,11,4,3,14,17,47.5,35.0,15.5,0.5473759913336271,132,0.00035168251252367755,0.017780991030221047,0.0035057908956818962,0.003003014740207418
10,samples/sample_000010.npz,rectangular_body_000010,13,29,42,58,10,17,16,16,7,10,17,21.0,50.0,13.5,0.7524312741276036,1792,0.004308149934214795,0.36082016152774155,0.06486545229779118,0.06503845808976222
11,samples/sample_000011.npz,rectangular_body_000011,55,60,9,21,7,15,5,12,8,7,15,57.5,15.0,11.0,0.8188030068467509,480,0.0006945792068948008,0.18811226850155494,0.01684094675438417,0.02566968615741511
12,samples/sample_000012.npz,rectangular_body_000012,14,29,21,30,10,16,15,9,6,10,16,21.5,25.5,13.0,0.8109834552387294,810,0.0030358990875027797,0.2069145707644258,0.03632859446463955,0.03291752939986796
13,samples/sample_000013.npz,rectangular_body_000013,2,13,48,58,5,12,11,10,7,5,12,7.5,53.0,8.5,0.7933045807495349,770,0.0007973674402714502,0.41017869570825893,0.028106172883228545,0.051080730874302434
14,samples/sample_000014.npz,rectangular_body_000014,22,27,4,13,15,20,5,9,5,15,20,24.5,8.5,17.5,0.20754495623670338,225,0.00016546717624725684,0.009404796781421417,0.001787396563105813,0.0016860852148236917
15,samples/sample_000015.npz,rectangular_body_000015,19,32,23,31,14,17,13,8,3,14,17,25.5,27.0,15.5,0.6645448098260138,312,0.001341031299149629,0.04889908481602126,0.010765347828626648,0.008063707500737125
16,samples/sample_000016.npz,rectangular_body_000016,17,33,19,34,4,10,16,15,6,4,10,25.0,26.5,7.0,0.9019100585343176,1440,0.004254847123548935,0.810319152737086,0.0914911923919005,0.11426645626084239
17,samples/sample_000017.npz,rectangular_body_000017,50,57,15,25,6,13,7,10,7,6,13,53.5,20.0,9.5,0.455060168177182,490,0.00044762731792252324,0.13703482098913944,0.011982184024556499,0.017400941025876637
18,samples/sample_000018.npz,rectangular_body_000018,36,47,15,26,13,17,11,11,4,13,17,41.5,20.5,15.0,0.7556496255102603,484,0.0016487817923139152,0.09153654386742639,0.01832263567185647,0.015572590562001842
19,samples/sample_000019.npz,rectangular_body_000019,25,36,38,44,12,20,11,6,8,12,20,30.5,41.0,16.0,0.26977642699442983,528,0.0009532011990269647,0.034259051773367216,0.007259960472057757,0.00552598119391944
20,samples/sample_000020.npz,rectangular_body_000020,25,38,19,27,6,11,13,8,5,6,11,31.5,23.0,8.5,0.527739747723183,520,0.0011559403415721324,0.1755899761740721,0.01837819731224878,0.022076264150267273
21,samples/sample_000021.npz,rectangular_body_000021,30,36,6,16,3,8,6,10,5,3,8,33.0,11.0,5.5,0.39044082342939723,300,0.00019760692131744266,0.16226917315495182,0.0077990422658354,0.014708433452629923
22,samples/sample_000022.npz,rectangular_body_000022,20,29,46,62,7,15,9,16,8,7,15,24.5,54.0,11.0,0.4605694393624532,1152,0.0013572031594871613,0.22064936665424167,0.026753525823978823,0.0333866918825709
23,samples/sample_000023.npz,rectangular_body_000023,29,43,29,34,5,13,14,5,8,5,13,36.0,31.5,9.0,0.225758546632446,560,0.0006984698191274591,0.08137158072969836,0.008469870355155347,0.009829984006370418
24,samples/sample_000024.npz,rectangular_body_000024,28,39,8,13,15,17,11,5,2,15,17,33.5,10.5,16.0,0.9409740811696254,110,0.00042408028822794804,0.02387072733783054,0.004460612080442301,0.004177948800502301
25,samples/sample_000025.npz,rectangular_body_000025,18,29,14,23,5,9,11,9,4,5,9,23.5,18.5,7.0,0.33140491519502346,396,0.00029632774292489634,0.11296112875883037,0.008889956650596739,0.012896275373890521
26,samples/sample_000026.npz,rectangular_body_000026,42,55,34,42,7,9,13,8,2,7,9,48.5,38.0,8.0,0.4725149145015195,208,0.00024264489433301523,0.06621140482702652,0.0062345987827424265,0.008453834236912478
27,samples/sample_000027.npz,rectangular_body_000027,17,33,6,22,15,17,16,16,2,15,17,25.0,14.0,16.0,0.7789084607655188,512,0.0016429668172225575,0.07963914190927172,0.01780649860964911,0.015110397185244416
28,samples/sample_000028.npz,rectangular_body_000028,24,37,45,53,10,18,13,8,8,10,18,30.5,49.0,14.0,0.37916968038695953,832,0.0013851628780549444,0.09335733157441546,0.015950089085494883,0.015158858958589342
29,samples/sample_000029.npz,rectangular_body_000029,25,32,19,28,5,8,7,9,3,5,8,28.5,23.5,6.5,0.8378726965056633,189,0.0004835417904171433,0.1679512442730219,0.01141202720239101,0.016811033577881235
30,samples/sample_000030.npz,rectangular_body_000030,49,55,24,39,15,22,6,15,7,15,22,52.0,31.5,18.5,0.32340379562796207,630,0.0010070405499257278,0.035567000338545124,0.00825932209926911,0.006651375993221078
31,samples/sample_000031.npz,rectangular_body_000031,7,16,33,40,7,9,9,7,2,7,9,11.5,36.5,8.0,0.2199793810711709,126,6.085448192472939e-05,0.021211586069127427,0.0016657537427171242,0.0024825235129392782
32,samples/sample_000032.npz,rectangular_body_000032,38,49,16,32,9,14,11,16,5,9,14,43.5,24.0,11.5,0.8991662605211204,880,0.003036254554650055,0.28619123484106446,0.045574680244489754,0.045220916510492384
33,samples/sample_000033.npz,rectangular_body_000033,29,38,22,32,4,9,9,10,5,4,9,33.5,27.0,6.5,0.6624796009659032,450,0.0011450350932594748,0.29815730637581883,0.02174633973567341,0.031177790349169128
34,samples/sample_000034.npz,rectangular_body_000034,28,36,16,30,9,17,8,14,8,9,17,32.0,23.0,13.0,0.4793614613190729,896,0.0026188309860107244,0.14243411381141735,0.02437954388334286,0.021674619479049126
35,samples/sample_000035.npz,rectangular_body_000035,38,53,48,61,7,11,15,13,4,7,11,45.5,54.5,9.0,0.7844032018316711,780,0.0011001656863566197,0.30461334595555883,0.03178787351941421,0.04573147966416575
36,samples/sample_000036.npz,rectangular_body_000036,43,59,39,50,10,15,16,11,5,10,15,51.0,44.5,12.5,0.3513652492027719,880,0.0008557314087677239,0.09842453885525115,0.015065401177558979,0.016702265705178406
37,samples/sample_000037.npz,rectangular_body_000037,31,39,25,33,16,19,8,8,3,16,19,35.0,29.0,17.5,0.7490368234415601,192,0.0012352093301742782,0.02834051465790899,0.007080438965453748,0.004668723061736065
38,samples/sample_000038.npz,rectangular_body_000038,23,35,24,34,8,10,12,10,2,8,10,29.0,29.0,9.0,0.6932820169050666,240,0.0008732774753790342,0.09311663170838311,0.011110570703480368,0.012301854992883486
