sample_index,relative_path,body_name,x_start,x_end,y_start,y_end,z_start,z_end,width_x,width_y,thickness_z,top_depth_index,bottom_depth_index,center_x_index,center_y_index,center_z_index,density_contrast,nonzero_density_cells,gravity_minimum_mgal,gravity_maximum_mgal,gravity_mean_mgal,gravity_std_mgal
355,samples/sample_000355.npz,rectangular_body_000355,19,32,28,42,3,5,13,14,2,3,5,25.5,35.0,4.0,0.591368352740427,364,4.905106887709029e-06,0.0649152086872331,0.002348437758801728,0.0091689369860573
928,samples/sample_000928.npz,rectangular_body_000928,27,32,50,62,6,12,5,12,6,6,12,29.5,56.0,9.0,0.4935792532811751,360,4.128867930230565e-06,0.09576761954294041,0.0016802163731960843,0.00883437381434149
198,samples/sample_000198.npz,rectangular_body_000198,26,37,34,49,5,9,11,15,4,5,9,31.5,41.5,7.0,0.9723033483190442,660,2.344079774773416e-05,0.15453614266719584,0.006436875125762888,0.0239458777892296
258,samples/sample_000258.npz,rectangular_body_000258,30,42,32,46,14,19,12,14,5,14,19,36.0,39.0,16.5,0.7515436513309226,840,5.097290939043247e-05,0.12099921779058254,0.006064160888887279,0.01884152223837659
815,samples/sample_000815.npz,rectangular_body_000815,7,17,37,52,6,13,10,15,7,6,13,12.0,44.5,9.5,0.6973370841455098,1050,1.589764324870723e-05,0.17706205357267396,0.0070698490494774,0.02646064472739087
594,samples/sample_000594.npz,rectangular_body_000594,10,21,37,41,16,24,11,4,8,16,24,15.5,39.0,20.0,0.5715414040098381,352,1.1888175407005126e-05,0.08626211275267379,0.0018795624863304334,0.007675007552551096
98,samples/sample_000098.npz,rectangular_body_000098,13,27,32,42,13,20,14,10,7,13,20,20.0,37.0,16.5,0.5784619057172555,980,3.5726443085680434e-05,0.12604768584413803,0.005417039172843763,0.017963989936436654
194,samples/sample_000194.npz,rectangular_body_000194,36,49,43,50,7,15,13,7,8,7,15,42.5,46.5,11.0,0.8483121437621688,728,1.9777952141923672e-05,0.22180059095341806,0.005995876455777182,0.025513026644745345
552,samples/sample_000552.npz,rectangular_body_000552,9,17,28,35,11,17,8,7,6,11,17,13.0,31.5,14.0,0.7725030168486076,336,1.1812371256058043e-05,0.13033278633360765,0.0024707603455888026,0.011635535709353967
193,samples/sample_000193.npz,rectangular_body_000193,7,17,34,38,15,22,10,4,7,15,22,12.0,36.0,18.5,0.8488172315489486,280,1.2386628972720898e-05,0.11666540198632455,0.0022049771701502458,0.009739145114487667
86,samples/sample_000086.npz,rectangular_body_000086,44,48,5,12,7,14,4,7,7,7,14,46.0,8.5,10.5,0.9456680134255657,196,3.747719565714159e-06,0.1758950732301479,0.0017489380039878671,0.011113165690362602
986,samples/sample_000986.npz,rectangular_body_000986,49,54,46,57,12,15,5,11,3,12,15,51.5,51.5,13.5,0.40078226366392244,165,1.6534704127307819e-06,0.03251333483860297,0.0006173012665496009,0.00293006535152454
696,samples/sample_000696.npz,rectangular_body_000696,47,52,49,60,11,17,5,11,6,11,17,49.5,54.5,14.0,0.537379033513,330,4.4459285528238855e-06,0.08585692478281882,0.001630190745198392,0.007755579335429909
772,samples/sample_000772.npz,rectangular_body_000772,32,44,18,29,5,7,12,11,2,5,7,38.0,23.5,6.0,0.2464567914489879,264,1.739519289214077e-06,0.02035451842658484,0.0006600816915522168,0.0027667125097355326
993,samples/sample_000993.npz,rectangular_body_000993,16,32,41,47,14,21,16,6,7,14,21,24.0,44.0,17.5,0.9587634215723835,672,3.860282327388651e-05,0.17664959859540688,0.006128253511526007,0.02156839304234834
429,samples/sample_000429.npz,rectangular_body_000429,29,45,17,31,4,9,16,14,5,4,9,37.0,24.0,6.5,0.9384024551434884,1120,3.247995593272e-05,0.19790376787388522,0.01065486860139963,0.03526694264558687
565,samples/sample_000565.npz,rectangular_body_000565,42,54,7,21,15,19,12,14,4,15,19,48.0,14.0,17.0,0.3253709882536769,672,8.005996802555124e-06,0.0415526427645979,0.00202750220723128,0.006481131849300226
