sample_index,sample_id,relative_path,x_start,x_end,y_start,y_end,z_start,z_end,width_x,width_y,thickness_z,top_depth_m,bottom_depth_m,width_x_m,width_y_m,thickness_z_m,center_x_m,center_y_m,center_depth_m,density_contrast,gravity_minimum_mgal,gravity_maximum_mgal,gravity_mean_mgal,gravity_std_mgal
0,sample_000000,samples/sample_000000.npz,20,36,50,55,8,11,16,5,3,80.0,110.0,160.0,50.0,30.0,275.0,520.0,95.0,0.5823011515635614,0.00020745197252836078,0.0775640606880188,0.00670601474121213,0.012319356203079224
1,sample_000001,samples/sample_000001.npz,47,54,37,46,4,9,7,9,5,40.0,90.0,70.0,90.0,50.0,500.0,410.0,65.0,0.5125959519207172,0.00015423748118337244,0.19944466650485992,0.008551808074116707,0.022672884166240692
2,sample_000002,samples/sample_000002.npz,51,59,24,40,7,14,8,16,7,70.0,140.0,80.0,160.0,70.0,545.0,315.0,105.0,0.5030300855112483,0.0007394989370368421,0.2171403467655182,0.02056531049311161,0.03608061373233795
3,sample_000003,samples/sample_000003.npz,25,32,0,12,6,11,7,12,5,60.0,110.0,70.0,120.0,50.0,280.0,55.0,85.0,0.5888399509141371,0.00028071622364223003,0.18181265890598297,0.011644557118415833,0.025626081973314285
4,sample_000004,samples/sample_000004.npz,50,60,17,29,7,9,10,12,2,70.0,90.0,100.0,120.0,20.0,545.0,225.0,80.0,0.3684879516949954,9.201480861520395e-05,0.06407105177640915,0.004344649612903595,0.009352886117994785
5,sample_000005,samples/sample_000005.npz,53,61,46,53,8,12,8,7,4,80.0,120.0,80.0,70.0,40.0,565.0,490.0,100.0,0.6378219029684873,0.00014323825598694384,0.0860166847705841,0.006275247782468796,0.012750832363963127
6,sample_000006,samples/sample_000006.npz,24,34,23,36,5,10,10,13,5,50.0,100.0,100.0,130.0,50.0,285.0,290.0,75.0,0.657265292946634,0.0009554697899147868,0.3393673300743103,0.022748170420527458,0.04792746156454086
7,sample_000007,samples/sample_000007.npz,47,61,38,52,8,13,14,14,5,80.0,130.0,140.0,140.0,50.0,535.0,445.0,105.0,0.9073043414323758,0.0011300717014819384,0.38849031925201416,0.03995608538389206,0.06877687573432922
8,sample_000008,samples/sample_000008.npz,12,25,47,60,7,10,13,13,3,70.0,100.0,130.0,130.0,30.0,180.0,530.0,85.0,0.9925207538285843,0.0005228757509030402,0.30260464549064636,0.02429485321044922,0.04854363948106766
9,sample_000009,samples/sample_000009.npz,44,55,33,37,7,10,11,4,3,70.0,100.0,110.0,40.0,30.0,490.0,345.0,85.0,0.5473759913336271,0.00010902636859100312,0.05564504861831665,0.0036350993905216455,0.007532438263297081
