epoch,background_mse_component,background_prediction_mean,body_mse_component,body_prediction_mean,density_mae,density_mse,loss,prediction_fraction_above_1e_4,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,val_background_mse_component,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_density_mae,val_density_mse,val_loss,val_prediction_fraction_above_1e_4,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation
1,0.033971305936574936,0.07715844362974167,0.048102837055921555,0.6184889078140259,0.07764529436826706,0.03399918973445892,0.04103710129857063,0.4353448450565338,0.994753897190094,0.07993362843990326,0.0,0.1716582179069519,0.007498443126678467,0.013595955446362495,0.049018267542123795,0.7569519877433777,0.014575478620827198,0.007774746045470238,0.02825835533440113,0.1020108014345169,0.9995989203453064,0.017291106283664703,0.0,0.10082483291625977
2,0.007944821380078793,0.01744779758155346,0.039852678775787354,0.6435605883598328,0.018188519403338432,0.00808931328356266,0.023898746818304062,0.19810856878757477,0.9951837062835693,0.02065770886838436,0.0,0.09850428998470306,0.005036867223680019,0.011762802489101887,0.04714047536253929,0.6002705693244934,0.012484240345656872,0.005181731190532446,0.026088666170835495,0.129856675863266,0.965387761592865,0.014688219875097275,0.0,0.0816800445318222
3,0.006839646492153406,0.014732847921550274,0.03970002382993698,0.6423815488815308,0.015490486286580563,0.006986207794398069,0.023269833996891975,0.16054071485996246,0.9927113056182861,0.017950640991330147,0.0,0.09320025146007538,0.006459714379161596,0.014108915813267231,0.040763940662145615,0.6763396859169006,0.014859943650662899,0.0066167437471449375,0.023611832410097122,0.15503956377506256,0.9927759766578674,0.017400801181793213,0.0,0.09223756939172745
4,0.006316870916634798,0.012890043668448925,0.03862018883228302,0.6476750373840332,0.013634325005114079,0.006463606376200914,0.022468533366918564,0.11379069089889526,0.9969391822814941,0.01614440232515335,0.0,0.09092429280281067,0.00534036522731185,0.010416299104690552,0.041117358952760696,0.6867013573646545,0.011227753944694996,0.005526617635041475,0.02322886511683464,0.06631957739591599,0.992841899394989,0.013778047636151314,0.0,0.08707721531391144
5,0.005617629736661911,0.011406985111534595,0.036677874624729156,0.6478748321533203,0.012158307246863842,0.0057620941661298275,0.021147752180695534,0.09323866665363312,0.9985702037811279,0.014669996686279774,0.0,0.08732151240110397,0.006059926003217697,0.01214256789535284,0.03961668908596039,0.6799705624580383,0.012909761629998684,0.006221559830009937,0.022838303819298744,0.07136810570955276,0.9882782697677612,0.015462279319763184,0.0,0.09044123440980911
6,0.005315129645168781,0.010686488822102547,0.036862168461084366,0.6492851972579956,0.011442217975854874,0.005464138928800821,0.021088633686304092,0.08159734308719635,0.9952993392944336,0.013960406184196472,0.0,0.0857231393456459,0.004287912044674158,0.008689808659255505,0.04536156728863716,0.652400553226471,0.00946482177823782,0.004457309376448393,0.02482474036514759,0.05551208555698395,0.9843588471412659,0.011889633722603321,0.0,0.07986535876989365
7,0.005473603028804064,0.010712829418480396,0.036766134202480316,0.6490268707275391,0.011455544270575047,0.005617924500256777,0.021119868382811546,0.06907911598682404,0.999521017074585,0.013985280878841877,0.0,0.08662166446447372,0.003943677991628647,0.008250238373875618,0.0403498075902462,0.667714536190033,0.009024688974022865,0.004118508193641901,0.022146746516227722,0.058457642793655396,0.9930993914604187,0.011528370901942253,0.0,0.07832659035921097
8,0.005037904251366854,0.010339826345443726,0.03683392331004143,0.647221565246582,0.0110854497179389,0.0051851896569132805,0.020935915410518646,0.1006651446223259,0.9947648644447327,0.013604942709207535,0.0,0.08406665921211243,0.004724534228444099,0.008603121154010296,0.04430727660655975,0.681228756904602,0.009453565813601017,0.004938678350299597,0.024515904486179352,0.05151570588350296,0.9973151683807373,0.011946680955588818,0.0,0.08377730846405029
9,0.00540262833237648,0.010985161177814007,0.03648408129811287,0.6461288928985596,0.011727500706911087,0.005547267850488424,0.020943360403180122,0.11067873984575272,0.9979342818260193,0.014241366647183895,0.0,0.08606802672147751,0.003780476516112685,0.008039087057113647,0.03861575573682785,0.6502041816711426,0.008790058083832264,0.0039418842643499374,0.021198110654950142,0.06191355362534523,0.9835136532783508,0.011231230571866035,0.0,0.0763670951128006
10,0.00481007294729352,0.009795687161386013,0.0368686318397522,0.645520031452179,0.010552039369940758,0.004963957238942385,0.020839344710111618,0.08842784911394119,0.9995476007461548,0.013054871000349522,0.0,0.08272963017225266,0.002560835797339678,0.005927214864641428,0.04644407331943512,0.6077098250389099,0.006700638681650162,0.002748088212683797,0.024502458050847054,0.05134694278240204,0.9770022630691528,0.008918620645999908,0.0,0.06672047078609467
