epoch,background_mse_component,background_prediction_mean,body_mse_component,body_prediction_mean,density_mae,density_mse,loss,prediction_fraction_above_1e_4,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,val_background_mse_component,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_density_mae,val_density_mse,val_loss,val_prediction_fraction_above_1e_4,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation
1,0.01897052489221096,0.042288728058338165,0.043099142611026764,0.6337131261825562,0.042921729385852814,0.01907954178750515,0.03103485144674778,0.28108862042427063,0.9999764561653137,0.04523368924856186,0.0,0.13762123882770538,0.008038785308599472,0.01905093342065811,0.04163717105984688,0.683013379573822,0.019793285056948662,0.008192704059183598,0.024837978184223175,0.48955872654914856,0.9897775650024414,0.022351432591676712,0.0,0.09963691234588623
2,0.005880285520106554,0.01251857727766037,0.03790339082479477,0.6490057706832886,0.013251611031591892,0.006024585571140051,0.021891821175813675,0.17302554845809937,0.9981898665428162,0.015687989071011543,0.0,0.08825073391199112,0.006061077583581209,0.013403435237705708,0.03967081010341644,0.6505206227302551,0.014124549925327301,0.006201527547091246,0.02286594919860363,0.1892884373664856,0.9670844078063965,0.01657048612833023,0.0,0.08909694105386734
3,0.005301187746226788,0.0109854182228446,0.03691506013274193,0.6500909328460693,0.011717600747942924,0.005447726231068373,0.021108129993081093,0.13346008956432343,0.9955124258995056,0.014167855493724346,0.0,0.08525550365447998,0.004269912373274565,0.009483177214860916,0.03976805508136749,0.6311286687850952,0.010201274417340755,0.0044129290618002415,0.022018980234861374,0.2040015608072281,0.956455647945404,0.012573318555951118,0.0,0.0784158930182457
4,0.005079141817986965,0.010622751899063587,0.036691732704639435,0.6501986980438232,0.011356500908732414,0.005225600209087133,0.020885435864329338,0.1483413279056549,0.9987108111381531,0.013807536102831364,0.0,0.08399393409490585,0.0028662902768701315,0.006230819970369339,0.040821854025125504,0.6165584325790405,0.006998852360993624,0.0030426469165831804,0.02184407040476799,0.09787363559007645,0.958648145198822,0.00926470011472702,0.0,0.06909051537513733
5,0.004750415682792664,0.010041329078376293,0.03538115695118904,0.6476150155067444,0.010751714929938316,0.004889857489615679,0.02006577141582966,0.11642315983772278,0.9909813404083252,0.01321613322943449,0.0,0.08205761015415192,0.003704876871779561,0.007363259792327881,0.03710652515292168,0.6719159483909607,0.008122245781123638,0.0038699263241142035,0.02040570043027401,0.044488728046417236,0.9865097999572754,0.010666687041521072,0.0,0.07696209847927094
6,0.004130476154386997,0.008559828624129295,0.03492003679275513,0.6480813026428223,0.009283410385251045,0.0042763822712004185,0.01952526345849037,0.09437818080186844,0.9998113512992859,0.011744319461286068,0.0,0.07849892973899841,0.0033080780413001776,0.007248528301715851,0.03955702856183052,0.6520636677742004,0.007987706921994686,0.0034632831811904907,0.021432554349303246,0.11759348213672638,0.9776785969734192,0.01045384630560875,0.0,0.07350354641675949
7,0.004088425077497959,0.008657935075461864,0.034151870757341385,0.6478193402290344,0.009376373142004013,0.004232185892760754,0.019120141863822937,0.10697190463542938,0.9980284571647644,0.01184065267443657,0.0,0.07818174362182617,0.004367672372609377,0.009183884598314762,0.038054004311561584,0.6721121072769165,0.009919135831296444,0.004522034898400307,0.02121083438396454,0.12825337052345276,0.9820390343666077,0.012479238212108612,0.0,0.08092782646417618
8,0.003709051525220275,0.007772698067128658,0.033302828669548035,0.648693323135376,0.00848386064171791,0.0038515727501362562,0.018505925312638283,0.07028406113386154,0.9987568259239197,0.01096418034285307,0.0,0.07594349980354309,0.0038823364302515984,0.008987963199615479,0.03691849857568741,0.6404456496238708,0.009695562534034252,0.004021314904093742,0.02040041983127594,0.2035338282585144,0.9520449638366699,0.012126881629228592,0.0,0.07645254582166672
9,0.0034648978617042303,0.007203713525086641,0.03285052999854088,0.64820796251297,0.007912065833806992,0.0036059997510164976,0.018157722428441048,0.10467453300952911,0.9975019097328186,0.010395609773695469,0.0,0.07437976449728012,0.003718040185049176,0.007811214774847031,0.03691878169775009,0.6899386644363403,0.00857835728675127,0.0038887818809598684,0.0203184075653553,0.1534443199634552,0.9872286915779114,0.011202006600797176,0.0,0.07784048467874527
10,0.0034333555959165096,0.007421019021421671,0.03226230666041374,0.6464948058128357,0.008109663613140583,0.003568562911823392,0.01784784160554409,0.12564463913440704,0.9969985485076904,0.010603307746350765,0.0,0.07412104308605194,0.005426599178463221,0.011614609509706497,0.03591383993625641,0.6978713274002075,0.012373467907309532,0.005590473301708698,0.020670220255851746,0.21016429364681244,0.9871073961257935,0.015025927685201168,0.0,0.08761080354452133
11,0.0032015093602240086,0.006780132185667753,0.031517039984464645,0.645870566368103,0.0074729472398757935,0.0033374172635376453,0.017359279096126556,0.07631658017635345,0.998762309551239,0.00996250007301569,0.0,0.07262052595615387,0.0028698137030005455,0.005417223088443279,0.03477337583899498,0.6814022660255432,0.006143040023744106,0.003029542276635766,0.01882159523665905,0.030087687075138092,0.9849573969841003,0.008777480572462082,0.0,0.07238887250423431
