epoch,background_mse_component,background_prediction_mean,body_mse_component,body_prediction_mean,density_mae,density_mse,loss,prediction_fraction_above_1e_4,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,val_background_mse_component,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_density_mae,val_density_mse,val_loss,val_prediction_fraction_above_1e_4,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation
1,0.030508941039443016,0.06419295072555542,0.049125611782073975,0.6001115441322327,0.06473125517368317,0.030540071427822113,0.039817288517951965,0.34550389647483826,0.9964349865913391,0.06686033308506012,0.0,0.16655251383781433,0.020311079919338226,0.04071864113211632,0.04178677126765251,0.5982504487037659,0.04135056957602501,0.020370792597532272,0.03104892559349537,0.18045847117900848,0.9476089477539062,0.04367927089333534,0.0,0.14229869842529297
2,0.02048063836991787,0.03998647630214691,0.04454227164387703,0.613577127456665,0.04062043875455856,0.020553430542349815,0.03251148760318756,0.2179287075996399,0.9996177554130554,0.04284144937992096,0.0,0.1431160569190979,0.020947998389601707,0.037201832979917526,0.03756178170442581,0.6585317254066467,0.03782479837536812,0.021002154797315598,0.029254890978336334,0.14212331175804138,0.9849690198898315,0.04050125926733017,0.0,0.14686886966228485
3,0.01818382367491722,0.03472229093313217,0.04281642660498619,0.6222114562988281,0.0353696271777153,0.018264733254909515,0.03050011768937111,0.17277756333351135,0.9936478734016418,0.03764638304710388,0.0,0.13662222027778625,0.01720510609447956,0.03194673731923103,0.03904382139444351,0.6262131333351135,0.032598551362752914,0.017281390726566315,0.02812446653842926,0.11198882758617401,0.9679715633392334,0.035102441906929016,0.0,0.1342955231666565
4,0.01670086570084095,0.031727977097034454,0.041764527559280396,0.6221963167190552,0.03238401189446449,0.016787581145763397,0.029232706874608994,0.15085934102535248,0.9932277202606201,0.03466687723994255,0.0,0.13192644715309143,0.017824776470661163,0.03549159690737724,0.038207605481147766,0.6022918820381165,0.03613877296447754,0.017895406112074852,0.028016192838549614,0.13132894039154053,0.9313340783119202,0.03850146383047104,0.0,0.1350032389163971
5,0.01601957343518734,0.030370119959115982,0.041071951389312744,0.6243578195571899,0.031024718657135963,0.016106626018881798,0.02854575775563717,0.14630499482154846,0.9919607639312744,0.033326584845781326,0.0,0.12973424792289734,0.016531366854906082,0.03139052540063858,0.03435933217406273,0.6273236870765686,0.03203999251127243,0.016603169962763786,0.025445343926548958,0.12176615744829178,0.9344862699508667,0.03455508500337601,0.0,0.13180425763130188
6,0.015455987304449081,0.028872456401586533,0.04064521938562393,0.6261423826217651,0.029537463560700417,0.015547861345112324,0.028050607070326805,0.12652699649333954,0.9847077131271362,0.031845271587371826,0.0,0.1279761791229248,0.013208502903580666,0.027106525376439095,0.04186564311385155,0.5820023417472839,0.02783656306564808,0.013328389264643192,0.02753707952797413,0.1361013799905777,0.874525249004364,0.030053164809942245,0.0,0.11868266761302948
7,0.014939451590180397,0.027859246358275414,0.04013948515057564,0.6260978579521179,0.028524769470095634,0.015032975003123283,0.027539456263184547,0.12745098769664764,0.9969450831413269,0.030836869031190872,0.0,0.12619787454605103,0.016160018742084503,0.03125619515776634,0.035000354051589966,0.6292795538902283,0.03191704675555229,0.016238922253251076,0.025580186396837234,0.16408509016036987,0.9181312918663025,0.03443185240030289,0.0,0.13048990070819855
8,0.014560806564986706,0.02697259746491909,0.03926195576786995,0.6286545395851135,0.027638472616672516,0.014652760699391365,0.02691136673092842,0.11690008640289307,0.9961968064308167,0.029967384412884712,0.0,0.12498030811548233,0.014592746272683144,0.02804545685648918,0.035540223121643066,0.621418297290802,0.02872183360159397,0.014682719483971596,0.02506648562848568,0.15866118669509888,0.928524911403656,0.03119642660021782,0.0,0.12507155537605286
9,0.014288924634456635,0.02644074335694313,0.03875073045492172,0.626632034778595,0.027098549529910088,0.014381378889083862,0.026519818231463432,0.11010005325078964,0.9946625828742981,0.02942807227373123,0.0,0.12398994714021683,0.014970328658819199,0.02820296585559845,0.03468044847249985,0.6351282596588135,0.028896460309624672,0.015065111219882965,0.024825388565659523,0.12552297115325928,0.9204248785972595,0.03142591193318367,0.0,0.12683048844337463
10,0.013960029929876328,0.02572491392493248,0.037842124700546265,0.6259409785270691,0.02637503482401371,0.014050023630261421,0.02590107172727585,0.10939939320087433,0.9826988577842712,0.02871241234242916,0.0,0.12281648814678192,0.012025739997625351,0.022970326244831085,0.037018902599811554,0.6001079082489014,0.023696644231677055,0.012144505977630615,0.0245223231613636,0.0816587284207344,0.8766672611236572,0.02603507973253727,0.0,0.11514301598072052
11,0.013798648491501808,0.02530916966497898,0.03746245801448822,0.6250676512718201,0.025957493111491203,0.013887608423829079,0.025630595162510872,0.10531969368457794,0.9808713793754578,0.028294332325458527,0.0,0.12224112451076508,0.017254261299967766,0.03043382801115513,0.032504018396139145,0.6687732934951782,0.03107641264796257,0.017322786152362823,0.02487913891673088,0.12017781287431717,0.9625158309936523,0.03382357582449913,0.0,0.13586944341659546
