epoch,background_mse_component,background_prediction_mean,body_mse_component,body_prediction_mean,density_loss,gravity_correlation,gravity_normalized_mse,gravity_rmse,loss,prediction_fraction_above_1e_4,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,val_background_mse_component,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_density_loss,val_gravity_correlation,val_gravity_normalized_mse,val_gravity_rmse,val_loss,val_prediction_fraction_above_1e_4,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation,val_weighted_gravity_loss,weighted_gravity_loss
1,0.016107922419905663,0.03854183852672577,0.058181166648864746,0.5568284392356873,0.037144556641578674,0.8806483745574951,3.0587596893310547,0.3211713433265686,0.04020330682396889,0.2963377833366394,0.9848774075508118,0.041121501475572586,0.0,0.12621985375881195,0.009515884332358837,0.020494597032666206,0.04238641634583473,0.5810566544532776,0.02595115639269352,0.9314450025558472,0.9836036562919617,0.22066067159175873,0.026934761554002762,0.1663968861103058,0.8186783790588379,0.023471323773264885,0.0,0.10369937121868134,0.0009836037643253803,0.0030587634537369013
2,0.01065640989691019,0.02277059108018875,0.04487818852066994,0.6153004765510559,0.027767295017838478,0.9135050177574158,1.0730668306350708,0.23063383996486664,0.028840377926826477,0.24079756438732147,0.999998927116394,0.025719741359353065,0.0,0.10899490863084793,0.012523520737886429,0.029222598299384117,0.03989120200276375,0.6110098958015442,0.026207363232970238,0.9176625609397888,1.4514095783233643,0.27149516344070435,0.027658769860863686,0.39466390013694763,0.8152287006378174,0.03231204301118851,0.0,0.11583010852336884,0.0014514097711071372,0.0010730659123510122
3,0.010476439259946346,0.021654844284057617,0.04356886073946953,0.619576632976532,0.027022631838917732,0.9181267619132996,1.0122522115707397,0.22241917252540588,0.028034890070557594,0.20832614600658417,0.9994099736213684,0.02463090606033802,0.0,0.10855835676193237,0.008092725649476051,0.018349291756749153,0.042522117495536804,0.5865080952644348,0.025307418778538704,0.9360288381576538,0.6845542192459106,0.18349911272525787,0.02599196881055832,0.19980254769325256,0.8865740895271301,0.021366359665989876,0.0,0.09757938235998154,0.0006845543393865228,0.0010122525272890925
4,0.009817655198276043,0.020262332633137703,0.04196847602725029,0.624168336391449,0.025893043726682663,0.9207705855369568,0.881869912147522,0.20751254260540009,0.02677490934729576,0.22831028699874878,0.9823030233383179,0.023268137127161026,0.0,0.10597430914640427,0.011408939026296139,0.022326359525322914,0.03615649417042732,0.6431772112846375,0.023782718926668167,0.9304341077804565,1.1671173572540283,0.24191728234291077,0.024949833750724792,0.10753000527620316,0.9511429667472839,0.02562323957681656,0.0,0.11374872922897339,0.001167117152363062,0.0008818711503408849
5,0.009174330160021782,0.01871614158153534,0.04026767611503601,0.6293836832046509,0.024721015244722366,0.9282914996147156,0.7664433121681213,0.19383655488491058,0.02548745647072792,0.21346940100193024,0.9861406087875366,0.02175561711192131,0.0,0.10341133177280426,0.009153444319963455,0.018961993977427483,0.03605959564447403,0.6187339425086975,0.022606518119573593,0.9417732954025269,0.7114831805229187,0.18868263065814972,0.023318003863096237,0.18746398389339447,0.968874454498291,0.022146938368678093,0.0,0.10340769588947296,0.000711483065970242,0.0007664431468583643
6,0.008466132916510105,0.017392659559845924,0.03967376425862312,0.6278699636459351,0.024069953709840775,0.9360321760177612,0.6809268593788147,0.18117406964302063,0.024750854820013046,0.18489474058151245,0.9714946746826172,0.020431164652109146,0.0,0.10019464790821075,0.010010643862187862,0.01885744370520115,0.03815166652202606,0.6620581150054932,0.02408115565776825,0.9326105713844299,0.8804061412811279,0.20844842493534088,0.0249615628272295,0.08573191612958908,0.8723691701889038,0.022273004055023193,0.0,0.10890522599220276,0.0008804061217233539,0.0006809273618273437
7,0.008069299161434174,0.01647906005382538,0.038826074451208115,0.6305108666419983,0.023447668179869652,0.9392560720443726,0.6237626075744629,0.17309066653251648,0.024071434512734413,0.14751535654067993,0.9581608772277832,0.019535278901457787,0.0,0.09849559515714645,0.008617105893790722,0.018524833023548126,0.03451716899871826,0.6478888392448425,0.02156713418662548,0.9537642002105713,0.6708360314369202,0.18439558148384094,0.02223796583712101,0.2642441689968109,0.8306511640548706,0.021866915747523308,0.0,0.10185431689023972,0.0006708361324854195,0.0006237626075744629
8,0.007007397711277008,0.014447336085140705,0.03740660101175308,0.6326999664306641,0.022207006812095642,0.9502238631248474,0.49790647625923157,0.15505969524383545,0.022704925388097763,0.1773780882358551,0.9350148439407349,0.017524557188153267,0.0,0.09346146881580353,0.0059354184195399284,0.012704242020845413,0.039025891572237015,0.5942899584770203,0.02248064987361431,0.961072564125061,0.3657854199409485,0.13413625955581665,0.022846436128020287,0.09110483527183533,0.9481384754180908,0.015792613849043846,0.0,0.08717992901802063,0.00036578549770638347,0.0004979067016392946
9,0.006622769869863987,0.01356411911547184,0.03730028495192528,0.6310052275657654,0.02196153812110424,0.951772153377533,0.44668248295783997,0.14644183218479156,0.02240821346640587,0.1571698784828186,0.9999882578849792,0.01663730852305889,0.0,0.09149044007062912,0.007295691873878241,0.01397260744124651,0.03567468002438545,0.6699855327606201,0.021485190838575363,0.9617900848388672,0.480917364358902,0.15257400274276733,0.021966105327010155,0.07559183984994888,0.8641623258590698,0.01745620183646679,0.0,0.0971246138215065,0.00048091751523315907,0.0004466827376745641
10,0.006703975144773722,0.013862690888345242,0.037304554134607315,0.632570743560791,0.022004254162311554,0.9505231380462646,0.44461917877197266,0.14609724283218384,0.02244887501001358,0.1631213128566742,0.9886866211891174,0.016942184418439865,0.0,0.0919404849410057,0.008242493495345116,0.01758534647524357,0.03332951292395592,0.6650667786598206,0.02078600972890854,0.9627378582954407,0.6264340281486511,0.1773146092891693,0.02141244150698185,0.2636578381061554,0.844062089920044,0.021023638546466827,0.0,0.10074204206466675,0.0006264341063797474,0.0004446188686415553
