epoch,background_mse_component,background_prediction_mean,body_mse_component,body_prediction_mean,density_amplitude_loss,density_loss,depth_loss,depth_profile_loss,loss,prediction_fraction_above_1e_4,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,sensitivity_loss,val_background_mse_component,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_density_amplitude_loss,val_density_loss,val_depth_loss,val_depth_profile_loss,val_loss,val_prediction_fraction_above_1e_4,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation,val_sensitivity_loss,val_z_center_loss,z_center_loss
1,0.042805567383766174,0.1016865223646164,0.05629757419228554,0.6063337326049805,0.043284207582473755,0.04955153912305832,0.02062945067882538,0.008131627924740314,0.17460469901561737,0.8984740972518921,0.9995923042297363,0.10419823229312897,0.0,0.18361034989356995,0.04051030054688454,0.00990231428295374,0.03902605548501015,0.04296422004699707,0.6011253595352173,0.03247905522584915,0.026433264836668968,0.01310623250901699,0.0067043001763522625,0.09334591776132584,0.8372777104377747,0.9995923042297363,0.042010948061943054,0.0,0.10082154721021652,0.008221120573580265,0.006401930004358292,0.01249780971556902
2,0.007971520535647869,0.03276616334915161,0.04640218988060951,0.6420210599899292,0.03379182517528534,0.027186864987015724,0.010364701971411705,0.006566678639501333,0.08821292966604233,0.8427354097366333,0.9915054440498352,0.03579860180616379,0.0,0.09412076324224472,0.006504789460450411,0.007442238740622997,0.03358232602477074,0.041163790971040726,0.6077026128768921,0.03161689639091492,0.024303019046783447,0.008573688566684723,0.006439481396228075,0.07906381040811539,0.8616663813591003,0.9915054440498352,0.03663105145096779,0.0,0.09028759598731995,0.0059965248219668865,0.002134208334609866,0.0037980268243700266
3,0.005576449446380138,0.02238774485886097,0.04435194283723831,0.6423569917678833,0.03128665313124657,0.02496419847011566,0.00820417795330286,0.005755571182817221,0.07733097672462463,0.6998178958892822,0.9979865550994873,0.02547353319823742,0.0,0.0843685120344162,0.004671786446124315,0.00231312308460474,0.011928840540349483,0.05686461925506592,0.5618655681610107,0.03666362166404724,0.029588870704174042,0.005999111570417881,0.005067052785307169,0.08035891503095627,0.6288045048713684,0.9979865550994873,0.014849149622023106,0.0,0.06352615356445312,0.002108196262270212,0.0009320580866187811,0.0024486014153808355
4,0.0036530625075101852,0.014624354429543018,0.04256125167012215,0.6465393900871277,0.028221268206834793,0.023107148706912994,0.0061208331026136875,0.004729386884719133,0.06669703125953674,0.5645126104354858,0.9942079782485962,0.017769593745470047,0.0,0.07466144859790802,0.003126994241029024,0.0036089203786104918,0.012384473346173763,0.041739415377378464,0.6249229907989502,0.02859494648873806,0.02267417125403881,0.00723954988643527,0.004868328105658293,0.06887902319431305,0.5367704033851624,0.9942079782485962,0.015637211501598358,0.0,0.07502221316099167,0.0031308061443269253,0.0023712210822850466,0.0013914450537413359
5,0.00344847678206861,0.013973614200949669,0.04213034361600876,0.6455516219139099,0.02793058007955551,0.02278941124677658,0.0058744545094668865,0.004415914416313171,0.06547625362873077,0.5462971329689026,0.9922625422477722,0.017117157578468323,0.0,0.07342518121004105,0.0030072967056185007,0.0067578828893601894,0.02549232728779316,0.03311668336391449,0.6543806791305542,0.02502579428255558,0.01993728242814541,0.007882853038609028,0.005316494032740593,0.0658830776810646,0.5675342679023743,0.9922625422477722,0.028831886127591133,0.0,0.09092509746551514,0.005154293961822987,0.0025663585402071476,0.001458541490137577
6,0.0027074827812612057,0.010351767763495445,0.03906025364995003,0.6440529227256775,0.024822961539030075,0.020883871242403984,0.005296519957482815,0.004047773312777281,0.058679237961769104,0.49347424507141113,0.9991790652275085,0.01350588258355856,0.0,0.06900492310523987,0.0023793834261596203,0.003196536796167493,0.010373464785516262,0.042062606662511826,0.6717145442962646,0.026816196739673615,0.022629573941230774,0.005941999610513449,0.004243737086653709,0.06408096104860306,0.46056610345840454,0.9991790652275085,0.013885361142456532,0.0,0.0748048648238182,0.0027512037195265293,0.001698263455182314,0.0012487485073506832
7,0.002409963868558407,0.009008157067000866,0.037204988300800323,0.6442993879318237,0.023271551355719566,0.0198074784129858,0.004613564815372229,0.0036916015669703484,0.05443596467375755,0.4509868025779724,0.9969422221183777,0.012170199304819107,0.0,0.06718804687261581,0.0021298073697835207,0.0029031706508249044,0.009829324670135975,0.03867074474692345,0.6463502645492554,0.020766258239746094,0.020786963403224945,0.005600946955382824,0.0037253873888403177,0.05556545406579971,0.44161325693130493,0.9969422221183777,0.013209421187639236,0.0,0.0715622752904892,0.0028103389777243137,0.0018755586352199316,0.0009219654020853341
8,0.002213376574218273,0.008181567303836346,0.03645969554781914,0.6418823003768921,0.02226162888109684,0.019336555153131485,0.004323530942201614,0.0034693663474172354,0.052213866263628006,0.41545242071151733,0.9881893396377563,0.011335697025060654,0.0,0.0657748356461525,0.0019686459563672543,0.0017117871902883053,0.006343279033899307,0.04417768865823746,0.6028304696083069,0.023924948647618294,0.02294473722577095,0.004006208851933479,0.0032317645382136106,0.05659018084406853,0.375680148601532,0.9881893396377563,0.009510782547295094,0.0,0.06157147139310837,0.0017080618999898434,0.0007744444883428514,0.0008541662828065455
9,0.0020400399807840586,0.007410390302538872,0.036746878176927567,0.6429541707038879,0.022099079564213753,0.01939345896244049,0.004212462808936834,0.003349374746903777,0.05174335837364197,0.3836204409599304,0.9999102354049683,0.010573690757155418,0.0,0.06467278301715851,0.0018259009812027216,0.003203047439455986,0.008230122737586498,0.03925396502017975,0.7088761925697327,0.023014938458800316,0.021228501573204994,0.005085775628685951,0.003626007353886962,0.05715683102607727,0.33187010884284973,0.9999102354049683,0.011950736865401268,0.0,0.07690563052892685,0.002741843694821,0.0014597683912143111,0.0008630881202407181
10,0.0019930212292820215,0.00719446549192071,0.035422101616859436,0.6422202587127686,0.020961089059710503,0.018707582727074623,0.003922950476408005,0.003197362879291177,0.049291323870420456,0.3792688846588135,0.9995254874229431,0.010355176404118538,0.0,0.06437893211841583,0.0017767546232789755,0.002613551216199994,0.008748148567974567,0.029442109167575836,0.6833596229553223,0.01779424585402012,0.01602783054113388,0.004003176465630531,0.003240027232095599,0.0441843718290329,0.39918699860572815,0.9995254874229431,0.012330512516200542,0.0,0.07154180109500885,0.0023559462279081345,0.0007631484186276793,0.0007255853270180523
11,0.0018266317201778293,0.006287477910518646,0.03432021290063858,0.640338659286499,0.019408313557505608,0.018073435872793198,0.0038901229854673147,0.0031300699338316917,0.0468856617808342,0.3407808542251587,0.996372640132904,0.009443334303796291,0.0,0.06318775564432144,0.0016236458905041218,0.0017846568953245878,0.005806945264339447,0.03283647075295448,0.6269357800483704,0.020244723185896873,0.01731056161224842,0.0037101348862051964,0.002996003720909357,0.04667619615793228,0.31786590814590454,0.996372640132904,0.009105302393436432,0.0,0.06321413069963455,0.0017006448470056057,0.0007141310488805175,0.0007600514800287783
