epoch,background_mse_component,background_prediction_mean,body_mse_component,body_prediction_mean,density_amplitude_loss,density_loss,depth_loss,depth_profile_loss,loss,prediction_fraction_above_1e_4,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,sensitivity_loss,val_background_mse_component,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_density_amplitude_loss,val_density_loss,val_depth_loss,val_depth_profile_loss,val_loss,val_prediction_fraction_above_1e_4,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation,val_sensitivity_loss,val_z_center_loss,z_center_loss
1,0.013374749571084976,0.039832714945077896,0.04761870950460434,0.6197366714477539,0.03634870424866676,0.030496787279844284,0.01167259830981493,0.006679086480289698,0.1019747406244278,0.7262288331985474,0.9985153079032898,0.04281099513173103,0.0,0.11661088466644287,0.011784258298575878,0.003017665585502982,0.010904968716204166,0.057526975870132446,0.5640262961387634,0.03603598475456238,0.030272318050265312,0.007343941833823919,0.005634721368551254,0.0836525410413742,0.4547291696071625,0.9985153079032898,0.013774683699011803,0.0,0.06874650716781616,0.002656357828527689,0.0017092198831960559,0.004993491340428591
2,0.0032671969383955,0.011303744278848171,0.04050573334097862,0.6322897672653198,0.026971420273184776,0.021886462345719337,0.005961613729596138,0.004691590555012226,0.0635896846652031,0.43684083223342896,0.9999076128005981,0.014493093825876713,0.0,0.07265082001686096,0.0028085587546229362,0.00217612786218524,0.006793578155338764,0.042457226663827896,0.596983015537262,0.024336371570825577,0.022316694259643555,0.004481344483792782,0.0035948543809354305,0.05761483684182167,0.30235525965690613,0.9999076128005981,0.009855613112449646,0.0,0.06412068754434586,0.001999067608267069,0.000886490277480334,0.0012700249208137393
3,0.0018042054725810885,0.005474356934428215,0.03684573248028755,0.6300427317619324,0.021182511001825333,0.019324980676174164,0.003986440598964691,0.003233707509934902,0.05011705309152603,0.2596767544746399,0.9997254014015198,0.00868205539882183,0.0,0.06315656006336212,0.0016366407508030534,0.0014311636332422495,0.004051925148814917,0.0322902649641037,0.6057180762290955,0.018464935943484306,0.016860714182257652,0.0034416040871292353,0.0028122703079134226,0.04348581284284592,0.16478203237056732,0.9997254014015198,0.007173496298491955,0.0,0.059238895773887634,0.0012769534951075912,0.0006293313927017152,0.0007527432171627879
4,0.001437823986634612,0.004173967521637678,0.033707886934280396,0.6255923509597778,0.017781337723135948,0.01757284626364708,0.0032786272931843996,0.002744805533438921,0.043230026960372925,0.20366671681404114,0.9990028738975525,0.0073655033484101295,0.0,0.06033916026353836,0.0013185589341446757,0.0013921181671321392,0.0036707220133394003,0.030609000474214554,0.6180869340896606,0.015463639050722122,0.016000576317310333,0.0028621156234294176,0.0023962529376149178,0.03851981833577156,0.1483728289604187,0.9990028738975525,0.006858448497951031,0.0,0.060012031346559525,0.0013313734671100974,0.0004658641992136836,0.0005338232731446624
5,0.0013519137864932418,0.0037429509684443474,0.03150734305381775,0.6224508285522461,0.01566033810377121,0.016429662704467773,0.0029931783210486174,0.0025397497229278088,0.03931303694844246,0.17007897794246674,0.9999867677688599,0.006920563988387585,0.0,0.05963120982050896,0.0012366974260658026,0.0011645586928352714,0.0033194199204444885,0.029740992933511734,0.602038562297821,0.012335743755102158,0.015452776104211807,0.0025180254597216845,0.002219288842752576,0.033873267471790314,0.1476752907037735,0.9999867677688599,0.006425702478736639,0.0,0.05722831189632416,0.0010486916871741414,0.00029873527819290757,0.00045342129305936396
6,0.0012642338406294584,0.00343169248662889,0.029669327661395073,0.6201191544532776,0.014351344667375088,0.015466773882508278,0.0028419482987374067,0.0024354709312319756,0.03665529936552048,0.16132308542728424,0.999480128288269,0.0065989261493086815,0.0,0.058880072087049484,0.00115330854896456,0.002420429140329361,0.005908345337957144,0.030560104176402092,0.6930239796638489,0.02079533413052559,0.01649026945233345,0.0034006075002253056,0.0026511717587709427,0.046282123774290085,0.19475026428699493,0.999480128288269,0.009473239071667194,0.0,0.07090282440185547,0.002195282606408,0.0007494359742850065,0.00040648021968081594
7,0.001227786997333169,0.0033524285536259413,0.0277952179312706,0.6174206137657166,0.013279157690703869,0.014511490240693092,0.002762383781373501,0.0023868302814662457,0.03443044424057007,0.15453124046325684,0.9997726678848267,0.00650621997192502,0.0,0.058459509164094925,0.0011149800848215818,0.0011164132738485932,0.00260214158333838,0.03302222117781639,0.6051269173622131,0.01713620126247406,0.017069319263100624,0.0034278612583875656,0.002760546514764428,0.04211266711354256,0.09828399866819382,0.9997726678848267,0.005728167947381735,0.0,0.05793650820851326,0.0010514215100556612,0.0006673124153167009,0.00037554651498794556
8,0.0012029221979901195,0.003272379981353879,0.027011016383767128,0.6157549619674683,0.012895449995994568,0.01410693395882845,0.002762309741228819,0.0023892554454505444,0.03361362963914871,0.15260563790798187,0.9997886419296265,0.006418019533157349,0.0,0.058186642825603485,0.0010865391232073307,0.0007934960885904729,0.0022775204852223396,0.03117780201137066,0.5416138172149658,0.015506274066865444,0.0159856416285038,0.0024434090591967106,0.0021374381612986326,0.03709283843636513,0.10873941332101822,0.9997886419296265,0.005075713619589806,0.0,0.051160067319869995,0.0007141081150621176,0.00030597017030231655,0.0003730508324224502
9,0.0011484810383990407,0.003078899811953306,0.025912685319781303,0.6142289638519287,0.011949466541409492,0.013530563563108444,0.0026579047553241253,0.002316264435648918,0.031836021691560745,0.13868215680122375,0.9995713829994202,0.006217698100954294,0.0,0.057717423886060715,0.0010401762556284666,0.0011708370875567198,0.0031224414706230164,0.02243938483297825,0.6242563724517822,0.010645567439496517,0.011805109679698944,0.0024793322663754225,0.0021993552800267935,0.028482969850301743,0.11612208187580109,0.9995713829994202,0.0063450150191783905,0.0,0.05830227583646774,0.001073611550964415,0.00027997762663289905,0.0003416474210098386
10,0.0011234026169404387,0.00301762530580163,0.025024235248565674,0.6129241585731506,0.011430932208895683,0.013073818758130074,0.002683487022295594,0.0023348811082541943,0.030887020751833916,0.1385575234889984,0.9990538954734802,0.006150044035166502,0.0,0.0574648417532444,0.001015300746075809,0.001207386376336217,0.0032278550788760185,0.02177583985030651,0.6474190354347229,0.010943539440631866,0.011491616256535053,0.002562921494245529,0.0023292454425245523,0.02862510085105896,0.1537589281797409,0.9990538954734802,0.006570059340447187,0.0,0.060027722269296646,0.0010641132248565555,0.00023367734684143215,0.0003486068162601441
