epoch,background_mse_component,background_prediction_mean,body_mse_component,body_prediction_mean,density_mae,density_mse,loss,prediction_fraction_above_1e_4,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,val_background_mse_component,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_density_mae,val_density_mse,val_loss,val_prediction_fraction_above_1e_4,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation
1,0.03555326536297798,0.08952272683382034,0.04907573387026787,0.607593834400177,0.08998546004295349,0.035618558526039124,0.04231448099017143,0.9344334602355957,0.9999793767929077,0.09210135787725449,5.923349461316957e-26,0.16982975602149963,0.007111759856343269,0.02840191312134266,0.041324976831674576,0.6188150644302368,0.029136337339878082,0.0073022800497710705,0.024218369275331497,0.9062869548797607,0.986674964427948,0.03153716400265694,0.0,0.0908653661608696
2,0.00786846037954092,0.025828536599874496,0.03916892036795616,0.6465249061584473,0.026507770642638206,0.008015460334718227,0.02351868711411953,0.8555455207824707,0.9986059665679932,0.028917932882905006,0.0,0.09579544514417648,0.008115703240036964,0.02161923050880432,0.03639858588576317,0.7167503833770752,0.022388651967048645,0.008307795971632004,0.022257139906287193,0.7968044877052307,0.9947220683097839,0.025310559198260307,0.0,0.10142514854669571
3,0.007048800587654114,0.021241165697574615,0.037164267152547836,0.6488645672798157,0.021928533911705017,0.007192875724285841,0.022106507793068886,0.772903323173523,0.9945988655090332,0.024365020915865898,0.0,0.0928141176700592,0.005093968473374844,0.013960151001811028,0.037394434213638306,0.6465341448783875,0.014735703356564045,0.005275124683976173,0.021244196221232414,0.6665960550308228,0.9927436709403992,0.01731928437948227,0.0,0.08455301076173782
4,0.0062303547747433186,0.01747901551425457,0.0358257032930851,0.6468173861503601,0.01816507615149021,0.006368477828800678,0.021028034389019012,0.6806324124336243,0.9946271777153015,0.020611412823200226,0.0,0.08917872607707977,0.004438391420990229,0.01384760532528162,0.03990686312317848,0.6140871047973633,0.014621737413108349,0.004612799268215895,0.022172627970576286,0.6470768451690674,0.9865047335624695,0.01703503541648388,0.0,0.07913284748792648
5,0.005866196472197771,0.016221828758716583,0.03512224182486534,0.646421492099762,0.016902662813663483,0.006000635214149952,0.02049422264099121,0.6222575306892395,0.9961726665496826,0.019358526915311813,0.0,0.08738017827272415,0.006182577461004257,0.01667618565261364,0.029833411797881126,0.6667266488075256,0.01737036742269993,0.006321018561720848,0.018007993698120117,0.6121867895126343,0.9755333662033081,0.020128127187490463,0.0,0.0904679149389267
6,0.0057632531970739365,0.01494196243584156,0.03500991687178612,0.6482140421867371,0.015629326924681664,0.005900269839912653,0.020386582240462303,0.5615501999855042,0.9935486316680908,0.01809394732117653,0.0,0.08715776354074478,0.004761889111250639,0.012940698303282261,0.03480090945959091,0.6051141619682312,0.013684326782822609,0.004911688156425953,0.01978139579296112,0.5255738496780396,0.9434707164764404,0.016085295006632805,0.0,0.08067303895950317
7,0.005180974490940571,0.013139565475285053,0.03415287658572197,0.6463385224342346,0.013825783506035805,0.0053161745890975,0.019666921347379684,0.5346016883850098,0.9932690858840942,0.016291186213493347,0.0,0.08405820280313492,0.005055327899754047,0.012551612220704556,0.029894910752773285,0.646695613861084,0.013250749558210373,0.005193748977035284,0.01747511699795723,0.4640815258026123,0.953644871711731,0.01591908372938633,0.0,0.08418086171150208
8,0.004999186377972364,0.012211060151457787,0.033624812960624695,0.647790253162384,0.012894747778773308,0.005132181104272604,0.01931200921535492,0.4910271465778351,0.9931009411811829,0.015374523587524891,0.0,0.08322739601135254,0.004530795384198427,0.01052582822740078,0.030507955700159073,0.6356772780418396,0.011226797476410866,0.00466375844553113,0.017519377171993256,0.49034059047698975,0.9667470455169678,0.01384554523974657,0.0,0.08097735792398453
9,0.004877690691500902,0.011824332177639008,0.03297341614961624,0.6462076306343079,0.01250032614916563,0.005007450468838215,0.018925555050373077,0.4833565950393677,0.9872832894325256,0.014981823973357677,0.0,0.08252427726984024,0.004575303290039301,0.011052737943828106,0.031146535649895668,0.6488981246948242,0.011771006509661674,0.0047159879468381405,0.01786091923713684,0.46526142954826355,0.9688889384269714,0.014439865946769714,0.0,0.08165595680475235
10,0.004625759553164244,0.010748029686510563,0.031794797629117966,0.6467392444610596,0.011412283405661583,0.004749378655105829,0.018210269510746002,0.4124608039855957,0.9866141676902771,0.013913574628531933,0.0,0.08121063560247421,0.003443237626925111,0.00922312680631876,0.03429326042532921,0.5884973406791687,0.009926407597959042,0.0035804358776658773,0.018868252635002136,0.37394288182258606,0.9648861885070801,0.01229922380298376,0.0,0.07238446176052094
