epoch,background_mse_component,background_prediction_mean,body_mse_component,body_prediction_mean,gravity_loss,high_sensitivity_mse,iou_loss,loss,low_sensitivity_mse,prediction_fraction_above_1e_4,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,sensitivity_loss,val_background_mse_component,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_gravity_loss,val_high_sensitivity_mse,val_iou_loss,val_loss,val_low_sensitivity_mse,val_prediction_fraction_above_1e_4,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation,val_sensitivity_loss
1,0.02954592928290367,0.06512435525655746,0.08372584730386734,0.5222485065460205,51.02077865600586,0.04692937061190605,0.9875640273094177,1.0485259294509888,0.012672503478825092,0.19859668612480164,0.6911071538925171,0.0673995316028595,0.0,0.16241960227489471,0.05585930496454239,0.01891961880028248,0.04109494015574455,0.059854693710803986,0.5159326791763306,10.772294044494629,0.035761650651693344,0.9853474497795105,1.0253081321716309,0.002567024203017354,0.11150746792554855,0.6911071538925171,0.043616458773612976,0.0,0.13575509190559387,0.03888365253806114
2,0.024937355890870094,0.04735059663653374,0.051891062408685684,0.5880334377288818,14.4788179397583,0.04420644789934158,0.9859061241149902,1.0249221324920654,0.005883789621293545,0.1118335872888565,0.7562270760536194,0.05004175752401352,0.0,0.15528324246406555,0.03756802901625633,0.023295700550079346,0.044200215488672256,0.047555163502693176,0.5792880654335022,13.07828140258789,0.04219510033726692,0.9848869442939758,1.0209317207336426,0.004749748855829239,0.10164622217416763,0.7562270760536194,0.04704168438911438,0.0,0.15111403167247772,0.034737102687358856
3,0.02274072915315628,0.042350076138973236,0.04877634719014168,0.5988048315048218,12.35300350189209,0.039621155709028244,0.9854332208633423,1.021667242050171,0.006071080453693867,0.10025222599506378,0.7821102142333984,0.045119721442461014,0.0,0.14989081025123596,0.03499673306941986,0.01472249161452055,0.03141602873802185,0.06100935488939285,0.5159351825714111,7.419576644897461,0.02531125396490097,0.9845563769340515,1.022749900817871,0.004559000954031944,0.08653859794139862,0.7821102142333984,0.03398894891142845,0.0,0.12249452620744705,0.037451550364494324
4,0.019539857283234596,0.03595317155122757,0.04654894024133682,0.6102350950241089,9.834586143493652,0.033283691853284836,0.9849750995635986,1.0183857679367065,0.006004368886351585,0.08454952389001846,0.8132036924362183,0.038811538368463516,0.0,0.14096249639987946,0.03242744505405426,0.019552258774638176,0.03540673106908798,0.04071870818734169,0.6218208074569702,9.40127182006836,0.03335922583937645,0.9839252233505249,1.0144622325897217,0.006001376546919346,0.08070414513349533,0.8132036924362183,0.038520749658346176,0.0,0.14178813993930817,0.029596833512187004
5,0.018470048904418945,0.03395266830921173,0.045795030891895294,0.6143516898155212,8.868206977844238,0.031162181869149208,0.9847683310508728,1.0172210931777954,0.00601060688495636,0.07882919162511826,0.7625300884246826,0.03684147447347641,0.0,0.13772568106651306,0.03156578913331032,0.015194430015981197,0.030140142887830734,0.04561615362763405,0.5728359222412109,7.157342910766602,0.025425510480999947,0.9839560985565186,1.014718770980835,0.005276842042803764,0.0766613781452179,0.7625300884246826,0.03302200138568878,0.0,0.12587521970272064,0.030046895146369934
6,0.017554841935634613,0.0321107916533947,0.04377969726920128,0.613895058631897,8.177197456359863,0.02948928251862526,0.9846673607826233,1.0156476497650146,0.005838379729539156,0.07465990632772446,0.7776230573654175,0.03500652685761452,0.0,0.1348741203546524,0.030162997543811798,0.020671557635068893,0.036223940551280975,0.04011709615588188,0.6436832547187805,10.5106840133667,0.03423343598842621,0.9839565753936768,1.0148450136184692,0.007365688215941191,0.08008982241153717,0.7776230573654175,0.03944971412420273,0.0,0.1458667665719986,0.029837341979146004
7,0.016554484143853188,0.029986469075083733,0.041912179440259933,0.616208016872406,7.379856109619141,0.0275727491825819,0.9845079779624939,1.0140129327774048,0.00574873574078083,0.06919939070940018,0.7852208614349365,0.03290431201457977,0.0,0.1317298412322998,0.028766851872205734,0.01540252286940813,0.027175303548574448,0.040954314172267914,0.6316897869110107,6.375762462615967,0.024988975375890732,0.9834587574005127,1.0119624137878418,0.0061227791011333466,0.0616842657327652,0.7852208614349365,0.03038543462753296,0.0,0.12887340784072876,0.02786608785390854
8,0.01589912734925747,0.029014145955443382,0.042316608130931854,0.6185739040374756,6.9613847732543945,0.026528822258114815,0.9844638705253601,1.0138474702835083,0.005499917082488537,0.06810222566127777,0.7592068910598755,0.031948573887348175,0.0,0.1295207440853119,0.028687765821814537,0.01444148924201727,0.02783443033695221,0.04236965999007225,0.5918328762054443,6.302034854888916,0.02433062344789505,0.9836200475692749,1.0123071670532227,0.004877740517258644,0.06829467415809631,0.7592068910598755,0.030829403549432755,0.0,0.1238773763179779,0.02805730514228344
9,0.01518433541059494,0.02780725248157978,0.04189595580101013,0.6171171069145203,6.521686553955078,0.02532440423965454,0.9844131469726562,1.0132149457931519,0.005274995695799589,0.06601268798112869,0.7958353757858276,0.03074045293033123,0.0,0.12700027227401733,0.02814984880387783,0.02008644863963127,0.03444799780845642,0.0391550213098526,0.6692794561386108,9.453781127929688,0.0338752381503582,0.9836735725402832,1.013720989227295,0.006585556082427502,0.07566070556640625,0.7958353757858276,0.037819117307662964,0.0,0.14488962292671204,0.0291021466255188
10,0.01496805064380169,0.02744421362876892,0.0418577715754509,0.6180874705314636,6.3614630699157715,0.024925636127591133,0.9843605160713196,1.0130436420440674,0.005251668859273195,0.06606848537921906,0.7778840661048889,0.030384045094251633,0.0,0.1262819468975067,0.028046835213899612,0.01665247231721878,0.03148237615823746,0.03850014507770538,0.6259323954582214,7.507897853851318,0.027831127867102623,0.9835294485092163,1.0115247964859009,0.005767361726611853,0.07824645936489105,0.7778840661048889,0.03463905304670334,0.0,0.13234375417232513,0.027244416996836662
